Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/24/2020 12:00,549.0,24.0,31.0,
Guangdong,Mainland China,1/24/2020 12:00,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020 12:00,43.0,,1.0,
Beijing,Mainland China,1/24/2020 12:00,36.0,,1.0,
Chongqing,Mainland China,1/24/2020 12:00,27.0,,,13.0
Hunan,Mainland China,1/24/2020 12:00,24.0,,,
Guangxi,Mainland China,1/24/2020 12:00,23.0,,,
Shanghai,Mainland China,1/24/2020 12:00,20.0,,1.0,22.0
Jiangxi,Mainland China,1/24/2020 12:00,18.0,,,
Sichuan,Mainland China,1/24/2020 12:00,15.0,,,4.0
Shandong,Mainland China,1/24/2020 12:00,15.0,,,
Anhui,Mainland China,1/24/2020 12:00,15.0,,,4.0
Fujian,Mainland China,1/24/2020 12:00,10.0,,,2.0
Henan,Mainland China,1/24/2020 12:00,9.0,,,42.0
Jiangsu,Mainland China,1/24/2020 12:00,9.0,,,
Hainan,Mainland China,1/24/2020 12:00,8.0,,,32.0
Tianjin,Mainland China,1/24/2020 12:00,8.0,,,
Yunnan,Mainland China,1/24/2020 12:00,5.0,,,
Shaanxi,Mainland China,1/24/2020 12:00,5.0,,,
Heilongjiang,Mainland China,1/24/2020 12:00,4.0,1.0,,
Liaoning,Mainland China,1/24/2020 12:00,4.0,,,
Guizhou,Mainland China,1/24/2020 12:00,3.0,,,
Jilin,Mainland China,1/24/2020 12:00,3.0,,,
Taiwan,Taiwan,1/24/2020 12:00,3.0,,,
Ningxia,Mainland China,1/24/2020 12:00,2.0,,,1.0
Hong Kong,Hong Kong,1/24/2020 12:00,2.0,,,36.0
Macau,Macau,1/24/2020 12:00,2.0,,,
Hebei,Mainland China,1/24/2020 12:00,2.0,1.0,,
Gansu,Mainland China,1/24/2020 12:00,2.0,,,
Xinjiang,Mainland China,1/24/2020 12:00,2.0,,,
Shanxi,Mainland China,1/24/2020 12:00,1.0,,,
Inner Mongolia,Mainland China,1/24/2020 12:00,1.0,,,2.0
Qinghai,Mainland China,1/24/2020 12:00,,,,1.0
WA,US,1/24/2020 12:00,1.0,,,
Illinois,US,1/24/2020 12:00,1.0,,,
,Japan,1/24/2020 12:00,2.0,,,
,Thailand,1/24/2020 12:00,5.0,,,
,South Korea,1/24/2020 12:00,2.0,,,
,Singapore,1/24/2020 12:00,3.0,,,
,Vietnam,1/24/2020 12:00,2.0,,,
,France,1/24/2020 12:00,2.0,,,
