Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/29/2020 21:00,4586,162.0,90.0
Zhejiang,Mainland China,1/29/2020 21:00,428,,4.0
Guangdong,Mainland China,1/29/2020 21:00,311,,6.0
Henan,Mainland China,1/29/2020 21:00,278,2.0,2.0
Hunan,Mainland China,1/29/2020 21:00,277,,
Anhui,Mainland China,1/29/2020 21:00,200,,2.0
Chongqing,Mainland China,1/29/2020 21:00,165,,1.0
Jiangxi,Mainland China,1/29/2020 21:00,162,,4.0
Shandong,Mainland China,1/29/2020 21:00,145,,1.0
Sichuan,Mainland China,1/29/2020 21:00,142,1.0,1.0
Jiangsu,Mainland China,1/29/2020 21:00,129,,1.0
Beijing,Mainland China,1/29/2020 21:00,111,1.0,4.0
Shanghai,Mainland China,1/29/2020 21:00,101,1.0,5.0
Fujian,Mainland China,1/29/2020 21:00,101,,
Guangxi,Mainland China,1/29/2020 21:00,78,,2.0
Hebei,Mainland China,1/29/2020 21:00,65,1.0,
Shaanxi,Mainland China,1/29/2020 21:00,56,,
Yunnan,Mainland China,1/29/2020 21:00,55,,
Hainan,Mainland China,1/29/2020 21:00,43,1.0,
Heilongjiang,Mainland China,1/29/2020 21:00,43,1.0,
Liaoning,Mainland China,1/29/2020 21:00,39,,1.0
Shanxi,Mainland China,1/29/2020 21:00,35,,1.0
Tianjin,Mainland China,1/29/2020 21:00,27,,
Gansu,Mainland China,1/29/2020 21:00,26,,
Inner Mongolia,Mainland China,1/29/2020 21:00,16,,
Jilin,Mainland China,1/29/2020 21:00,14,,1.0
Xinjiang,Mainland China,1/29/2020 21:00,14,,
Guizhou,Mainland China,1/29/2020 21:00,12,,1.0
Ningxia,Mainland China,1/29/2020 21:00,12,,
Hong Kong,Hong Kong,1/29/2020 21:00,10,,
Taiwan,Taiwan,1/29/2020 21:00,8,,
Macau,Macau,1/29/2020 21:00,7,,
Qinghai,Mainland China,1/29/2020 21:00,6,,
Tibet,Mainland China,1/29/2020 21:00,1,,
WA,US,1/29/2020 21:00,1,,
Illinois,US,1/29/2020 21:00,1,,
California,US,1/29/2020 21:00,2,,
Arizona,US,1/29/2020 21:00,1,,
,Japan,1/29/2020 21:00,11,,1.0
,Thailand,1/29/2020 21:00,14,,5.0
,South Korea,1/29/2020 21:00,4,,
,Singapore,1/29/2020 21:00,10,,
,Vietnam,1/29/2020 21:00,2,,
,France,1/29/2020 21:00,5,,
,Nepal,1/29/2020 21:00,1,,
,Malaysia,1/29/2020 21:00,7,,
Ontario,Canada,1/29/2020 21:00,2,,
British Columbia,Canada,1/29/2020 21:00,1,,
,Cambodia,1/29/2020 21:00,1,,
,Sri Lanka,1/29/2020 21:00,1,,
New South Wales,Australia,1/29/2020 21:00,4,,
Victoria,Australia,1/29/2020 21:00,2,,
Queensland,Australia,1/29/2020 21:00,1,,
Bavaria,Germany,1/29/2020 21:00,4,,
,Finland,1/29/2020 21:00,1,,
,United Arab Emirates,1/29/2020 21:00,4,,
