Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
5620,2555,44,2020-07-05 22:00:00,2020-07-05,0,79,0,72,0
5620,2555,44,2020-07-04 22:00:00,2020-07-04,107,78,2,71,47
5513,2508,42,2020-07-03 22:00:00,2020-07-03,0,77,0,70,0
5513,2508,42,2020-07-02 22:00:00,2020-07-02,119,76,0,69,88
5394,2420,42,2020-07-01 22:00:00,2020-07-01,0,75,0,68,0
5394,2420,42,2020-06-30 22:00:00,2020-06-30,185,74,2,67,93
5209,2327,40,2020-06-29 22:00:00,2020-06-29,0,73,0,66,0
5209,2327,40,2020-06-28 22:00:00,2020-06-28,0,72,0,65,0
5209,2327,40,2020-06-27 22:00:00,2020-06-27,122,71,0,64,57
5087,2270,40,2020-06-26 22:00:00,2020-06-26,131,70,1,63,93
4956,2177,39,2020-06-25 22:00:00,2020-06-25,107,69,0,62,70
4849,2107,39,2020-06-24 22:00:00,2020-06-24,110,68,0,61,105
4739,2002,39,2020-06-23 22:00:00,2020-06-23,311,67,5,60,252
4428,1750,34,2020-06-22 22:00:00,2020-06-22,0,66,0,59,0
4428,1750,34,2020-06-21 22:00:00,2020-06-21,0,65,0,58,0
4428,1750,34,2020-06-20 22:00:00,2020-06-20,88,64,2,57,93
4340,1657,32,2020-06-19 22:00:00,2020-06-19,111,63,2,56,152
4229,1505,30,2020-06-18 22:00:00,2020-06-18,115,62,1,55,73
4114,1432,29,2020-06-17 22:00:00,2020-06-17,81,61,2,54,98
4033,1334,27,2020-06-16 22:00:00,2020-06-16,570,60,4,53,310
3463,1024,23,2020-06-15 22:00:00,2020-06-15,0,59,0,52,0
3463,1024,23,2020-06-14 22:00:00,2020-06-14,0,58,0,51,0
3463,1024,23,2020-06-13 22:00:00,2020-06-13,0,57,0,50,0
3463,1024,23,2020-06-12 22:00:00,2020-06-12,88,56,1,49,46
3375,978,22,2020-06-11 22:00:00,2020-06-11,128,55,1,48,40
3247,938,21,2020-06-10 22:00:00,2020-06-10,146,54,0,47,105
3101,833,21,2020-06-09 22:00:00,2020-06-09,0,53,0,46,0
3101,833,21,2020-06-08 22:00:00,2020-06-08,0,52,0,45,0
3101,833,21,2020-06-07 22:00:00,2020-06-07,0,51,0,44,0
3101,833,21,2020-06-06 22:00:00,2020-06-06,146,50,0,43,15
2955,818,21,2020-06-05 22:00:00,2020-06-05,53,49,1,42,17
2902,801,20,2020-06-04 22:00:00,2020-06-04,99,48,0,41,22
2803,779,20,2020-06-03 22:00:00,2020-06-03,148,47,3,40,57
2655,722,17,2020-06-02 22:00:00,2020-06-02,0,46,0,39,0
2655,722,17,2020-06-01 22:00:00,2020-06-01,0,45,0,38,0
2655,722,17,2020-05-31 22:00:00,2020-05-31,42,44,2,37,13
2613,709,15,2020-05-30 22:00:00,2020-05-30,182,43,1,36,41
2431,668,14,2020-05-29 22:00:00,2020-05-29,112,42,0,35,37
2319,631,14,2020-05-28 22:00:00,2020-05-28,81,41,0,34,38
2238,593,14,2020-05-27 22:00:00,2020-05-27,103,40,0,33,31
2135,562,14,2020-05-26 22:00:00,2020-05-26,201,39,2,32,103
1934,459,12,2020-05-25 22:00:00,2020-05-25,0,38,0,31,0
1934,459,12,2020-05-24 22:00:00,2020-05-24,206,37,0,30,57
1728,402,12,2020-05-23 22:00:00,2020-05-23,161,36,0,29,37
1567,365,12,2020-05-22 22:00:00,2020-05-22,0,35,0,28,0
1567,365,12,2020-05-21 22:00:00,2020-05-21,65,34,0,27,47
1502,318,12,2020-05-20 22:00:00,2020-05-20,70,33,1,26,17
1432,301,11,2020-05-19 22:00:00,2020-05-19,112,32,0,25,57
1320,244,11,2020-05-18 22:00:00,2020-05-18,0,31,0,24,0
1320,244,11,2020-05-17 22:00:00,2020-05-17,111,30,1,23,25
1209,219,10,2020-05-16 22:00:00,2020-05-16,105,29,0,22,37
1104,182,10,2020-05-15 22:00:00,2020-05-15,100,28,1,21,30
1004,152,9,2020-05-14 22:00:00,2020-05-14,141,27,0,20,15
863,137,9,2020-05-13 22:00:00,2020-05-13,61,26,0,19,10
802,127,9,2020-05-12 22:00:00,2020-05-12,141,25,1,18,17
661,110,8,2020-05-11 22:00:00,2020-05-11,0,24,0,17,0
661,110,8,2020-05-10 22:00:00,2020-05-10,41,23,0,16,0
620,110,8,2020-05-09 22:00:00,2020-05-09,116,22,0,15,0
504,110,8,2020-05-08 22:00:00,2020-05-08,65,21,0,14,11
439,99,8,2020-05-07 22:00:00,2020-05-07,42,20,2,13,6
397,93,6,2020-05-06 22:00:00,2020-05-06,30,19,0,12,0
367,93,6,2020-05-05 22:00:00,2020-05-05,32,18,1,11,8
335,85,5,2020-05-04 22:00:00,2020-05-04,0,17,0,10,0
335,85,5,2020-05-03 22:00:00,2020-05-03,59,16,2,9,18
276,67,3,2020-05-02 22:00:00,2020-05-02,0,15,0,8,0
276,67,3,2020-05-01 22:00:00,2020-05-01,0,14,0,7,0
276,67,3,2020-04-30 22:00:00,2020-04-30,38,13,0,6,14
238,53,3,2020-04-29 22:00:00,2020-04-29,27,12,0,5,10
211,43,3,2020-04-28 22:00:00,2020-04-28,35,11,0,4,13
176,30,3,2020-04-27 22:00:00,2020-04-27,0,10,0,3,0
176,30,3,2020-04-26 22:00:00,2020-04-26,4,9,0,2,4
172,26,3,2020-04-25 22:00:00,2020-04-25,5,8,1,1,2
167,24,2,2020-04-24 22:00:00,2020-04-24,1,7,1,0,0
166,24,1,2020-04-23 22:00:00,2020-04-23,10,6,0,0,8
156,16,1,2020-04-22 22:00:00,2020-04-22,36,5,0,0,9
120,7,1,2020-04-21 22:00:00,2020-04-21,11,4,0,0,0
109,7,1,2020-04-20 22:00:00,2020-04-20,1,3,0,0,0
108,7,1,2020-04-19 22:00:00,2020-04-19,0,2,0,0,0
108,7,1,2020-04-18 22:00:00,2020-04-18,13,1,0,0,1
95,6,1,2020-04-17 22:00:00,2020-04-17,15,0,0,0,2
80,4,1,2020-04-16 22:00:00,2020-04-16,0,0,0,0,0
80,4,1,2020-04-15 22:00:00,2020-04-15,23,0,0,0,3
57,1,1,2020-04-14 22:00:00,2020-04-14,0,0,0,0,0
57,1,1,2020-04-13 22:00:00,2020-04-13,8,0,0,0,0
49,1,1,2020-04-12 22:00:00,2020-04-12,5,0,0,0,0
44,1,1,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
44,1,1,2020-04-10 22:00:00,2020-04-10,10,0,0,0,0
34,1,1,2020-04-09 22:00:00,2020-04-09,4,0,0,0,0
30,1,1,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
30,1,1,2020-04-07 22:00:00,2020-04-07,6,0,0,0,0
24,1,1,2020-04-06 22:00:00,2020-04-06,3,0,0,0,0
21,1,1,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
21,1,1,2020-04-04 21:00:00,2020-04-04,0,0,0,0,0
21,1,1,2020-04-03 21:00:00,2020-04-03,3,0,0,0,1
18,0,1,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
18,0,1,2020-04-01 21:00:00,2020-04-01,2,0,0,0,0
16,0,1,2020-03-31 21:00:00,2020-03-31,9,0,0,0,0
7,0,1,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
