Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
96108,26400,1446,2020-04-05 22:00:00,2020-04-05,4949,35,171
91159,24575,1275,2020-04-04 21:00:00,2020-04-04,6096,34,164
85063,22440,1111,2020-04-03 21:00:00,2020-04-03,7082,33,180
77981,19175,931,2020-04-02 21:00:00,2020-04-02,5598,32,143
72383,16100,788,2020-04-01 21:00:00,2020-04-01,5332,31,138
67051,13500,650,2020-03-31 21:00:00,2020-03-31,4616,30,109
62435,9211,541,2020-03-30 21:00:00,2020-03-30,4188,29,86
58247,8481,455,2020-03-29 21:00:00,2020-03-29,4907,28,60
53340,6658,395,2020-03-28 21:00:00,2020-03-28,6062,27,114
47278,5673,281,2020-03-27 21:10:00,2020-03-27,7776,26,59
39502,3547,222,2020-03-26 22:20:00,2020-03-26,5447,25,47
34055,3540,175,2020-03-25 23:20:00,2020-03-25,3905,24,45
30150,453,130,2020-03-24 21:20:00,2020-03-24,3930,23,19
26220,266,111,2020-03-23 21:40:00,2020-03-23,3856,22,27
22364,209,84,2020-03-22 21:00:00,2020-03-22,2222,21,14
20142,180,70,2020-03-21 21:00:00,2020-03-21,3516,20,26
16626,115,44,2020-03-20 21:20:00,2020-03-20,3543,19,13
13083,113,31,2020-03-19 21:30:00,2020-03-19,3164,18,5
9919,71,26,2020-03-18 22:00:00,2020-03-18,2309,17,9
7610,67,17,2020-03-17 21:00:00,2020-03-17,1395,16,4
6215,46,13,2020-03-16 21:00:00,2020-03-16,1566,15,4
4649,46,9,2020-03-15 21:00:00,2020-03-15,891,14,1
3758,46,8,2020-03-14 21:00:00,2020-03-14,1008,13,2
2750,25,6,2020-03-13 21:00:00,2020-03-13,784,12,3
1966,25,3,2020-03-12 21:00:00,2020-03-12,353,11,1
1613,18,2,2020-03-11 21:00:00,2020-03-11,389,10,0
1224,18,2,2020-03-10 21:00:00,2020-03-10,73,9,2
1151,18,0,2020-03-09 21:00:00,2020-03-09,304,8,0
847,18,0,2020-03-08 21:00:00,2020-03-08,155,7,0
692,18,0,2020-03-07 21:00:00,2020-03-07,115,6,0
577,17,0,2020-03-06 21:00:00,2020-03-06,228,5,0
349,16,0,2020-03-05 21:00:00,2020-03-05,109,4,0
240,16,0,2020-03-04 21:00:00,2020-03-04,75,3,0
165,16,0,2020-03-03 21:00:00,2020-03-03,15,2,0
150,16,0,2020-03-02 21:00:00,2020-03-02,71,1,0
79,16,0,2020-03-01 21:00:00,2020-03-01,0,0,0
79,16,0,2020-02-29 21:00:00,2020-02-29,30,0,0
49,16,0,2020-02-28 21:00:00,2020-02-28,22,0,0
27,15,0,2020-02-27 21:00:00,2020-02-27,9,0,0
18,15,0,2020-02-26 21:00:00,2020-02-26,2,0,0
16,14,0,2020-02-25 21:00:00,2020-02-25,0,0,0
16,14,0,2020-02-24 21:00:00,2020-02-24,0,0,0
16,14,0,2020-02-23 21:00:00,2020-02-23,0,0,0
16,14,0,2020-02-22 21:00:00,2020-02-22,0,0,0
16,13,0,2020-02-21 21:00:00,2020-02-21,0,0,0
16,9,0,2020-02-20 21:00:00,2020-02-20,0,0,0
16,9,0,2020-02-19 21:00:00,2020-02-19,0,0,0
16,9,0,2020-02-18 21:00:00,2020-02-18,0,0,0
16,3,0,2020-02-17 21:00:00,2020-02-17,0,0,0
16,3,0,2020-02-16 21:00:00,2020-02-16,0,0,0
16,1,0,2020-02-15 21:00:00,2020-02-15,0,0,0
16,1,0,2020-02-14 21:00:00,2020-02-14,0,0,0
16,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
16,0,0,2020-02-12 21:00:00,2020-02-12,2,0,0
14,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
14,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
14,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
14,0,0,2020-02-08 21:00:00,2020-02-08,1,0,0
13,0,0,2020-02-07 21:00:00,2020-02-07,1,0,0
12,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
12,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
12,0,0,2020-02-04 20:00:00,2020-02-04,2,0,0
10,0,0,2020-02-03 20:00:00,2020-02-03,2,0,0
8,0,0,2020-02-02 20:00:00,2020-02-02,1,0,0
7,0,0,2020-02-01 10:00:00,2020-02-01,3,0,0
4,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
4,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
4,0,0,2020-01-29 14:00:00,2020-01-29,3,0,0
1,0,0,2020-01-28 11:30:00,2020-01-28,1,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
