Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
2683,118,41,2020-04-06 18:00:00,2020-04-06,134,18,6
2549,61,35,2020-04-05 22:00:00,2020-04-05,213,17,5
2336,40,30,2020-04-04 21:00:00,2020-04-04,295,16,9
2041,37,21,2020-04-03 21:00:00,2020-04-03,273,15,5
1768,5,16,2020-04-02 21:00:00,2020-04-02,207,14,4
1561,0,12,2020-04-01 21:00:00,2020-04-01,182,13,4
1379,0,8,2020-03-31 21:00:00,2020-03-31,190,12,2
1189,0,6,2020-03-30 21:00:00,2020-03-30,127,11,1
1062,0,5,2020-03-29 21:00:00,2020-03-29,118,10,0
944,0,5,2020-03-28 21:00:00,2020-03-28,189,9,2
755,0,3,2020-03-27 21:10:00,2020-03-27,130,8,1
625,0,2,2020-03-26 22:20:00,2020-03-26,113,7,2
512,0,0,2020-03-25 23:20:00,2020-03-25,92,6,0
420,0,0,2020-03-24 21:20:00,2020-03-24,109,5,0
311,0,0,2020-03-23 21:40:00,2020-03-23,28,4,0
283,0,0,2020-03-22 21:00:00,2020-03-22,94,3,0
189,0,0,2020-03-21 21:00:00,2020-03-21,50,2,0
139,0,0,2020-03-20 21:20:00,2020-03-20,47,1,0
92,0,0,2020-03-19 21:30:00,2020-03-19,26,0,0
66,0,0,2020-03-18 22:00:00,2020-03-18,25,0,0
41,0,0,2020-03-17 21:00:00,2020-03-17,8,0,0
33,0,0,2020-03-16 21:00:00,2020-03-16,7,0,0
26,0,0,2020-03-15 21:00:00,2020-03-15,7,0,0
19,0,0,2020-03-14 21:00:00,2020-03-14,2,0,0
17,0,0,2020-03-13 21:00:00,2020-03-13,8,0,0
9,0,0,2020-03-12 21:00:00,2020-03-12,2,0,0
7,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0
7,0,0,2020-03-10 21:00:00,2020-03-10,5,0,0
2,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0
2,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0
2,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
