Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
161348,75351,29752,2020-06-26 22:00:00,2020-06-26,0,118,21,116,224
161348,75127,29731,2020-06-25 22:00:00,2020-06-25,81,117,11,115,256
161267,74871,29720,2020-06-24 22:00:00,2020-06-24,517,116,57,114,259
160750,74612,29663,2020-06-23 22:00:00,2020-06-23,373,115,23,113,240
160377,74372,29640,2020-06-22 22:00:00,2020-06-22,284,114,7,112,60
160093,74312,29633,2020-06-21 22:00:00,2020-06-21,641,113,16,111,195
159452,74117,29617,2020-06-20 22:00:00,2020-06-20,811,112,14,110,230
158641,73887,29603,2020-06-19 22:00:00,2020-06-19,467,111,28,109,220
158174,73667,29575,2020-06-18 22:00:00,2020-06-18,458,110,28,108,332
157716,73335,29547,2020-06-17 22:00:00,2020-06-17,344,109,111,107,291
157372,73044,29436,2020-06-16 22:00:00,2020-06-16,152,108,29,106,185
157220,72859,29407,2020-06-15 22:00:00,2020-06-15,407,107,9,105,51
156813,72808,29398,2020-06-14 22:00:00,2020-06-14,526,106,24,104,236
156287,72572,29374,2020-06-13 22:00:00,2020-06-13,726,105,28,103,423
155561,72149,29346,2020-06-12 22:00:00,2020-06-12,425,104,27,102,317
155136,71832,29319,2020-06-11 22:00:00,2020-06-11,545,103,23,101,326
154591,71506,29296,2020-06-10 22:00:00,2020-06-10,403,102,87,100,444
154188,71062,29209,2020-06-09 22:00:00,2020-06-09,211,101,54,99,220
153977,70842,29155,2020-06-08 22:00:00,2020-06-08,343,100,13,98,36
153634,70806,29142,2020-06-07 22:00:00,2020-06-07,579,99,31,97,302
153055,70504,29111,2020-06-06 22:00:00,2020-06-06,611,98,46,96,528
152444,69976,29065,2020-06-05 22:00:00,2020-06-05,767,97,44,95,521
151677,69455,29021,2020-06-04 22:00:00,2020-06-04,352,96,81,94,643
151325,68812,28940,2020-06-03 22:00:00,2020-06-03,-37895,95,107,93,372
189220,68440,28833,2020-06-02 22:00:00,2020-06-02,338,94,31,92,85
188882,68355,28802,2020-06-01 22:00:00,2020-06-01,257,93,31,91,87
188625,68268,28771,2020-05-31 22:00:00,2020-05-31,1790,92,57,90,465
186835,67803,28714,2020-05-30 22:00:00,2020-05-30,597,91,52,89,612
186238,67191,28662,2020-05-29 22:00:00,2020-05-29,3325,90,66,88,607
182913,66584,28596,2020-05-28 22:00:00,2020-05-28,191,89,66,87,705
182722,65879,28530,2020-05-27 22:00:00,2020-05-27,-220,88,98,86,680
182942,65199,28432,2020-05-26 22:00:00,2020-05-26,358,87,65,85,582
182584,64617,28367,2020-05-25 22:00:00,2020-05-25,115,86,35,84,70
182469,64547,28332,2020-05-24 22:00:00,2020-05-24,250,85,43,83,338
182219,64209,28289,2020-05-23 22:00:00,2020-05-23,393,84,74,82,351
181826,63858,28215,2020-05-22 22:00:00,2020-05-22,251,83,83,81,504
181575,63354,28132,2020-05-21 22:00:00,2020-05-21,766,82,110,80,791
180809,62563,28022,2020-05-20 22:00:00,2020-05-20,882,81,-217,79,835
179927,61728,28239,2020-05-19 22:00:00,2020-05-19,358,80,131,78,515
179569,61213,28108,2020-05-18 22:00:00,2020-05-18,204,79,483,77,147
179365,61066,27625,2020-05-17 22:00:00,2020-05-17,-141,78,96,76,618
179506,60448,27529,2020-05-16 22:00:00,2020-05-16,636,77,104,75,843
178870,59605,27425,2020-05-15 22:00:00,2020-05-15,810,76,351,74,932
178060,58673,27074,2020-05-14 22:00:00,2020-05-14,-165,75,83,73,888
178225,57785,26991,2020-05-13 22:00:00,2020-05-13,802,74,348,72,1061
177423,56724,26643,2020-05-12 22:00:00,2020-05-12,453,73,263,71,507
176970,56217,26380,2020-05-11 22:00:00,2020-05-11,312,72,70,70,179
176658,56038,26310,2020-05-10 22:00:00,2020-05-10,579,71,80,69,256
176079,55782,26230,2020-05-09 22:00:00,2020-05-09,1288,70,243,68,755
174791,55027,25987,2020-05-08 22:00:00,2020-05-08,600,69,178,67,1055
174191,53972,25809,2020-05-07 22:00:00,2020-05-07,3640,68,278,66,1236
170551,52736,25531,2020-05-06 22:00:00,2020-05-06,1089,67,330,65,1365
169462,51371,25201,2020-05-05 22:00:00,2020-05-05,769,66,306,64,587
168693,50784,24895,2020-05-04 22:00:00,2020-05-04,297,65,135,63,222
168396,50562,24760,2020-05-03 22:00:00,2020-05-03,1050,64,166,62,350
167346,50212,24594,2020-05-02 22:00:00,2020-05-02,168,63,218,61,736
167178,49476,24376,2020-05-01 22:00:00,2020-05-01,758,62,289,60,1248
166420,48228,24087,2020-04-30 22:00:00,2020-04-30,509,61,427,59,1342
165911,46886,23660,2020-04-29 22:00:00,2020-04-29,69,60,367,58,1373
165842,45513,23293,2020-04-28 22:00:00,2020-04-28,3742,59,437,57,610
162100,44903,22856,2020-04-27 22:00:00,2020-04-27,612,58,242,56,309
161488,44594,22614,2020-04-26 22:00:00,2020-04-26,1660,57,369,55,1101
159828,43493,22245,2020-04-25 22:00:00,2020-04-25,1645,56,389,54,1405
158183,42088,21856,2020-04-24 22:00:00,2020-04-24,-1694,55,516,53,1431
159877,40657,21340,2020-04-23 22:00:00,2020-04-23,1827,54,544,52,1476
158050,39181,20796,2020-04-22 22:00:00,2020-04-22,2667,53,531,51,1772
155383,37409,20265,2020-04-21 22:00:00,2020-04-21,2489,52,547,50,831
152894,36578,19718,2020-04-20 22:00:00,2020-04-20,1101,51,395,49,595
151793,35983,19323,2020-04-19 22:00:00,2020-04-19,3824,50,642,48,1563
147969,34420,18681,2020-04-18 22:00:00,2020-04-18,1909,49,761,47,1608
146060,32812,17920,2020-04-17 22:00:00,2020-04-17,12416,48,753,46,1857
133644,30955,17167,2020-04-16 22:00:00,2020-04-16,3391,47,1438,45,2150
130253,28805,15729,2020-04-15 22:00:00,2020-04-15,5955,46,762,44,1087
124298,27718,14967,2020-04-14 22:00:00,2020-04-14,3665,45,574,43,532
120633,27186,14393,2020-04-13 22:00:00,2020-04-13,2455,44,561,42,795
118178,26391,13832,2020-04-12 22:00:00,2020-04-12,4251,43,635,41,1459
113927,24932,13197,2020-04-11 22:00:00,2020-04-11,6231,42,987,40,1726
107696,23206,12210,2020-04-10 22:00:00,2020-04-10,4635,41,1341,39,1952
103061,21254,10869,2020-04-09 22:00:00,2020-04-09,3881,40,541,38,1917
99180,19337,10328,2020-04-08 22:00:00,2020-04-08,8728,39,1417,37,2087
90452,17250,8911,2020-04-07 22:00:00,2020-04-07,2733,38,833,36,1067
87719,16183,8078,2020-04-06 22:00:00,2020-04-06,4700,37,518,35,745
83019,15438,7560,2020-04-05 22:00:00,2020-04-05,6559,36,1053,34,1430
76460,14008,6507,2020-04-04 21:00:00,2020-04-04,17355,35,1120,33,1580
59105,12428,5387,2020-04-03 21:00:00,2020-04-03,2116,34,1355,32,1493
56989,10935,4032,2020-04-02 21:00:00,2020-04-02,4861,33,509,31,1491
52128,9444,3523,2020-04-01 21:00:00,2020-04-01,7578,32,499,30,1517
44550,7927,3024,2020-03-31 21:00:00,2020-03-31,4376,31,418,29,725
40174,7202,2606,2020-03-30 21:00:00,2020-03-30,2599,30,292,28,1502
37575,5700,2314,2020-03-29 21:00:00,2020-03-29,4611,29,319,27,0
32964,5700,1995,2020-03-28 21:00:00,2020-03-28,3809,28,299,26,752
29155,4948,1696,2020-03-27 21:10:00,2020-03-27,3922,27,365,25,1048
25233,3900,1331,2020-03-26 22:20:00,2020-03-26,2929,26,231,24,619
22304,3281,1100,2020-03-25 23:20:00,2020-03-25,2448,25,240,23,1081
19856,2200,860,2020-03-24 21:20:00,2020-03-24,3375,24,186,22,0
16481,2200,674,2020-03-23 21:40:00,2020-03-23,2022,23,112,21,613
14459,1587,562,2020-03-22 21:00:00,2020-03-22,1847,22,112,20,0
12612,1587,450,2020-03-21 21:00:00,2020-03-21,1617,21,78,19,292
10995,1295,372,2020-03-20 21:20:00,2020-03-20,1861,20,108,18,693
9134,602,264,2020-03-19 21:30:00,2020-03-19,1404,19,89,17,0
7730,602,175,2020-03-18 22:00:00,2020-03-18,1097,18,27,16,590
6633,12,148,2020-03-17 21:00:00,2020-03-17,1210,17,21,15,0
5423,12,127,2020-03-16 21:00:00,2020-03-16,924,16,36,14,0
4499,12,91,2020-03-15 21:00:00,2020-03-15,838,15,12,13,0
3661,12,79,2020-03-14 21:00:00,2020-03-14,785,14,18,12,0
2876,12,61,2020-03-13 21:00:00,2020-03-13,595,13,13,11,0
2281,12,48,2020-03-12 21:00:00,2020-03-12,497,12,15,10,0
1784,12,33,2020-03-11 21:00:00,2020-03-11,372,11,3,9,0
1412,12,30,2020-03-10 21:00:00,2020-03-10,203,10,11,8,0
1209,12,19,2020-03-09 21:00:00,2020-03-09,260,9,3,7,0
949,12,16,2020-03-08 21:00:00,2020-03-08,296,8,7,6,0
653,12,9,2020-03-07 21:00:00,2020-03-07,230,7,2,5,0
423,12,7,2020-03-06 21:00:00,2020-03-06,138,6,3,4,0
285,12,4,2020-03-05 21:00:00,2020-03-05,73,5,0,3,0
212,12,4,2020-03-04 21:00:00,2020-03-04,21,4,1,2,0
191,12,3,2020-03-03 21:00:00,2020-03-03,61,3,1,1,0
130,12,2,2020-03-02 21:00:00,2020-03-02,30,2,0,0,0
100,12,2,2020-03-01 21:00:00,2020-03-01,43,1,0,0,1
57,11,2,2020-02-29 21:00:00,2020-02-29,16,0,0,0,0
41,11,2,2020-02-28 21:00:00,2020-02-28,23,0,0,0,0
18,11,2,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
17,11,2,2020-02-26 21:00:00,2020-02-26,5,0,1,0,0
12,11,1,2020-02-25 21:00:00,2020-02-25,0,0,0,0,1
12,10,1,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
12,10,1,2020-02-23 21:00:00,2020-02-23,0,0,0,0,3
12,7,1,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
12,7,1,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
12,7,1,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
12,7,1,2020-02-19 21:00:00,2020-02-19,0,0,0,0,2
12,5,1,2020-02-18 21:00:00,2020-02-18,0,0,0,0,1
12,4,1,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
12,4,1,2020-02-16 21:00:00,2020-02-16,1,0,0,0,0
11,4,1,2020-02-15 21:00:00,2020-02-15,0,0,1,0,2
11,2,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
11,2,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,2
11,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
11,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
11,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
11,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
11,0,0,2020-02-08 21:00:00,2020-02-08,5,0,0,0,0
6,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
6,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
6,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
6,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
6,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
6,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
6,0,0,2020-02-01 10:00:00,2020-02-01,1,0,0,0,0
5,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
5,0,0,2020-01-30 12:00:00,2020-01-30,1,0,0,0,0
4,0,0,2020-01-29 14:00:00,2020-01-29,1,0,0,0,0
3,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
3,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
