Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
1,0,2020-02-26,1,0,0,0,0,0
1,0,2020-02-27,0,0,0,0,0,0
1,0,2020-02-28,0,0,0,0,0,0
2,0,2020-02-29,1,0,0,0,0,0
2,0,2020-03-01,0,0,0,0,0,0
2,0,2020-03-02,0,0,0,0,0,0
2,0,2020-03-03,0,0,0,0,0,0
3,0,2020-03-04,1,0,0,0,0,0
6,0,2020-03-05,3,0,0,0,0,0
10,0,2020-03-06,4,0,0,0,0,0
13,0,2020-03-07,3,0,0,0,0,0
16,0,2020-03-08,3,0,0,0,0,0
16,0,2020-03-09,0,0,0,0,0,0
19,0,2020-03-10,3,0,0,0,0,0
30,0,2020-03-11,11,0,0,0,0,0
42,0,2020-03-12,12,0,0,0,0,0
56,0,2020-03-13,14,0,0,0,0,0
65,0,2020-03-14,9,0,0,0,0,0
136,0,2020-03-15,71,1,0,0,0,0
152,0,2020-03-16,16,2,0,0,0,0
164,1,2020-03-17,12,3,1,0,0,0
240,4,2020-03-18,76,4,3,1,0,0
286,4,2020-03-19,46,5,0,2,0,0
396,9,2020-03-20,110,6,5,3,0,0
459,15,2020-03-21,63,7,6,4,0,0
631,22,2020-03-22,172,8,7,5,0,0
745,30,2020-03-23,114,9,8,6,0,0
810,40,2020-03-24,65,10,10,7,0,0
862,48,2020-03-25,52,11,8,8,0,0
1052,58,2020-03-26,190,12,10,9,0,0
1223,68,2020-03-27,171,13,10,10,0,0
1406,84,2020-03-28,183,14,16,11,0,0
1451,98,2020-03-29,45,15,14,12,0,0
1517,113,2020-03-30,66,16,15,13,0,0
2339,136,2020-03-31,822,17,23,14,0,0
2981,164,2020-04-01,642,18,28,15,0,0
3506,188,2020-04-02,525,19,24,16,0,0
4048,219,2020-04-03,542,20,31,17,0,0
4466,260,2020-04-04,418,21,41,18,0,0
4620,275,2020-04-05,154,22,15,19,0,0
4866,304,2020-04-06,246,23,29,20,0,0
5682,371,2020-04-07,816,24,67,21,0,0
6708,428,2020-04-08,1026,25,57,22,0,0
7480,496,2020-04-09,772,26,68,23,0,0
8216,540,2020-04-10,736,27,44,24,0,0
8419,560,2020-04-11,203,28,20,25,0,0
8755,588,2020-04-12,336,29,28,26,0,0
8895,608,2020-04-13,140,30,20,27,0,0
9371,695,2020-04-14,476,31,87,28,0,0
11043,778,2020-04-15,1672,32,83,29,0,0
11568,853,2020-04-16,525,33,75,30,0,0
12841,928,2020-04-17,1273,34,75,31,0,0
13894,991,2020-04-18,1053,35,63,32,0,0
14267,1015,2020-04-19,373,36,24,33,0,0
14580,1037,2020-04-20,313,37,22,34,0,0
15385,1093,2020-04-21,805,38,56,35,0,0
15914,1134,2020-04-22,529,39,41,36,0,0
16740,1345,2020-04-23,826,40,211,37,0,0
17826,1512,2020-04-24,1086,41,167,38,0,0
20004,1667,2020-04-25,2178,42,155,39,0,0
20715,1700,2020-04-26,711,43,33,40,0,0
21696,1825,2020-04-27,981,44,125,41,0,0
24041,2049,2020-04-28,2345,45,224,42,0,0
26158,2247,2020-04-29,2117,46,198,43,0,0
28698,2375,2020-04-30,2540,47,128,44,0,0
30374,2511,2020-05-01,1676,48,136,45,0,0
31174,2586,2020-05-02,800,49,75,46,0,0
31772,2627,2020-05-03,598,50,41,47,0,0
32187,2654,2020-05-04,415,51,27,48,0,0
34053,2851,2020-05-05,1866,52,197,49,0,0
37853,3045,2020-05-06,3800,53,194,50,0,0
39928,3206,2020-05-07,2075,54,161,51,0,0
41830,3416,2020-05-08,1902,55,210,52,0,0
44411,3608,2020-05-09,2581,56,192,53,0,0
45444,3709,2020-05-10,1033,57,101,54,0,0
46131,3743,2020-05-11,687,58,34,55,0,0
47719,3949,2020-05-12,1588,59,206,56,0,0
51097,4118,2020-05-13,3378,60,169,57,0,0
54286,4315,2020-05-14,3189,61,197,58,0,0
58378,4501,2020-05-15,4092,62,186,59,0,0
61183,4688,2020-05-16,2805,63,187,60,0,0
62345,4782,2020-05-17,1162,64,94,61,0,0
63066,4823,2020-05-18,721,65,41,62,0,0
65995,5147,2020-05-19,2929,66,324,63,0,0
69859,5363,2020-05-20,3864,67,216,64,0,0
73739,5558,2020-05-21,3880,68,195,65,0,0
76871,5773,2020-05-22,3132,69,215,66,0,0
80558,6045,2020-05-23,3687,70,272,67,0,0
82161,6163,2020-05-24,1603,71,118,68,0,0
83625,6220,2020-05-25,1464,72,57,69,0,0
86017,6423,2020-05-26,2392,73,203,70,0,0
89483,6712,2020-05-27,3466,74,289,71,0,0
95865,6980,2020-05-28,6382,75,268,72,0,0
101556,7275,2020-05-29,5691,76,295,73,0,0
107142,7532,2020-05-30,5586,77,257,74,0,0
109698,7615,2020-05-31,2556,78,83,75,0,0
111296,7667,2020-06-01,1598,79,52,76,0,0
118295,7994,2020-06-02,6999,80,327,77,0,0
123483,8276,2020-06-03,5188,81,282,78,0,0
129200,8561,2020-06-04,5717,82,285,79,0,0
134565,8842,2020-06-05,5365,83,281,80,0,0
140549,9058,2020-06-06,5984,84,216,81,0,0
143073,9145,2020-06-07,2524,85,87,82,0,0
144593,9188,2020-06-08,1520,86,43,83,0,0
150138,9522,2020-06-09,5545,87,334,84,0,0
156316,9862,2020-06-10,6178,88,340,85,0,0
162520,10145,2020-06-11,6204,89,283,86,0,0
167900,10368,2020-06-12,5380,90,223,87,0,0
172875,10581,2020-06-13,4975,91,213,88,0,0
178202,10694,2020-06-14,5327,92,113,89,0,0
181460,10767,2020-06-15,3258,93,73,90,0,0
190285,11132,2020-06-16,8825,94,365,91,0,0
191517,11521,2020-06-17,1232,95,389,92,0,0
192628,11846,2020-06-18,1111,96,325,93,0,0
211658,12232,2020-06-19,19030,97,386,94,0,0
215793,12494,2020-06-20,4135,98,262,95,0,0
219185,12588,2020-06-21,3392,99,94,96,0,0
221973,12634,2020-06-22,2788,100,46,97,0,0
229475,13068,2020-06-23,7502,101,434,98,0,0
238822,13352,2020-06-24,9347,102,284,99,0,0
248587,13759,2020-06-25,9765,103,407,100,0,0
258508,13966,2020-06-26,9921,104,207,101,0,0
265581,14263,2020-06-27,7073,105,297,102,0,0
271737,14338,2020-06-28,6156,106,75,103,0,0
275145,14398,2020-06-29,3408,107,60,104,0,0
281380,14763,2020-06-30,6235,108,365,105,0,0
281380,14763,2020-07-01,0,109,0,106,0,0
