Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
8108,7407,154,2020-07-01 22:00:00,2020-07-01,41,105,0,94,53
8067,7354,154,2020-06-30 22:00:00,2020-06-30,71,104,0,93,32
7996,7322,154,2020-06-29 22:00:00,2020-06-29,39,103,0,92,39
7957,7283,154,2020-06-28 22:00:00,2020-06-28,69,102,0,91,58
7888,7225,154,2020-06-27 22:00:00,2020-06-27,37,101,0,90,34
7851,7191,154,2020-06-26 22:00:00,2020-06-26,26,100,1,89,57
7825,7134,153,2020-06-25 22:00:00,2020-06-25,44,99,0,88,38
7781,7096,153,2020-06-24 22:00:00,2020-06-24,45,98,0,87,55
7736,7041,153,2020-06-23 22:00:00,2020-06-23,32,97,1,86,23
7704,7018,152,2020-06-22 22:00:00,2020-06-22,31,96,0,85,22
7673,6996,152,2020-06-21 22:00:00,2020-06-21,48,95,0,84,35
7625,6961,152,2020-06-20 22:00:00,2020-06-20,46,94,0,83,23
7579,6938,152,2020-06-19 22:00:00,2020-06-19,49,93,1,82,45
7530,6893,151,2020-06-18 22:00:00,2020-06-18,48,92,0,81,11
7482,6882,151,2020-06-17 22:00:00,2020-06-17,29,91,0,80,20
7453,6862,151,2020-06-16 22:00:00,2020-06-16,20,90,0,79,1
7433,6861,151,2020-06-15 22:00:00,2020-06-15,50,89,0,78,31
7383,6830,151,2020-06-14 22:00:00,2020-06-14,37,88,0,77,42
7346,6788,151,2020-06-13 22:00:00,2020-06-13,30,87,0,76,34
7316,6754,151,2020-06-12 22:00:00,2020-06-12,40,86,0,75,0
7276,6754,151,2020-06-11 22:00:00,2020-06-11,47,85,0,74,32
7229,6722,151,2020-06-10 22:00:00,2020-06-10,27,84,2,73,24
7202,6698,149,2020-06-09 22:00:00,2020-06-09,64,83,3,72,42
7138,6656,146,2020-06-08 22:00:00,2020-06-08,0,82,0,71,0
7138,6656,146,2020-06-07 22:00:00,2020-06-07,40,81,0,70,32
7098,6624,146,2020-06-06 22:00:00,2020-06-06,7,80,0,69,13
7091,6611,146,2020-06-05 22:00:00,2020-06-05,15,79,1,68,24
7076,6587,145,2020-06-04 22:00:00,2020-06-04,19,78,2,67,50
7057,6537,143,2020-06-03 22:00:00,2020-06-03,13,77,0,66,36
7044,6501,143,2020-06-02 22:00:00,2020-06-02,34,76,0,65,218
7010,6283,143,2020-06-01 22:00:00,2020-06-01,18,75,0,64,38
6992,6245,143,2020-05-31 22:00:00,2020-05-31,13,74,0,63,25
6979,6220,143,2020-05-30 22:00:00,2020-05-30,24,73,0,62,60
6955,6160,143,2020-05-29 22:00:00,2020-05-29,29,72,2,61,54
6926,6106,141,2020-05-28 22:00:00,2020-05-28,25,71,2,60,58
6901,6048,139,2020-05-27 22:00:00,2020-05-27,22,70,1,59,69
6879,5979,138,2020-05-26 22:00:00,2020-05-26,19,69,3,58,55
6860,5924,135,2020-05-25 22:00:00,2020-05-25,42,68,0,57,55
6818,5869,135,2020-05-24 22:00:00,2020-05-24,18,67,1,56,68
6800,5801,134,2020-05-23 22:00:00,2020-05-23,32,66,2,55,91
6768,5710,132,2020-05-22 22:00:00,2020-05-22,33,65,4,54,73
6735,5637,128,2020-05-21 22:00:00,2020-05-21,19,64,0,53,53
6716,5584,128,2020-05-20 22:00:00,2020-05-20,33,63,0,52,65
6683,5519,128,2020-05-19 22:00:00,2020-05-19,39,62,1,51,66
6644,5453,127,2020-05-18 22:00:00,2020-05-18,57,61,1,50,76
6587,5377,126,2020-05-17 22:00:00,2020-05-17,72,60,1,49,60
6515,5317,125,2020-05-16 22:00:00,2020-05-16,58,59,4,48,112
6457,5205,121,2020-05-15 22:00:00,2020-05-15,50,58,1,47,129
6407,5076,120,2020-05-14 22:00:00,2020-05-14,62,57,2,46,210
6345,4866,118,2020-05-13 22:00:00,2020-05-13,45,56,1,45,207
6300,4659,117,2020-05-12 22:00:00,2020-05-12,47,55,0,44,270
6253,4389,117,2020-05-11 22:00:00,2020-05-11,96,54,1,43,185
6157,4204,116,2020-05-10 22:00:00,2020-05-10,57,53,1,42,184
6100,4020,115,2020-05-09 22:00:00,2020-05-09,83,52,1,41,211
6017,3809,114,2020-05-08 22:00:00,2020-05-08,124,51,2,40,257
5893,3552,112,2020-05-07 22:00:00,2020-05-07,0,50,6,39,333
5893,3219,106,2020-05-06 22:00:00,2020-05-06,57,49,2,38,277
5836,2942,104,2020-05-05 22:00:00,2020-05-05,70,48,9,37,229
5766,2713,95,2020-05-04 22:00:00,2020-05-04,96,47,1,36,179
5670,2534,94,2020-05-03 22:00:00,2020-05-03,97,46,2,35,175
5573,2359,92,2020-05-02 22:00:00,2020-05-02,218,45,2,34,198
5355,2161,90,2020-05-01 22:00:00,2020-05-01,190,44,3,33,208
5165,1953,87,2020-04-30 22:00:00,2020-04-30,315,43,7,32,153
4850,1800,80,2020-04-29 22:00:00,2020-04-29,154,42,5,31,136
4696,1664,75,2020-04-28 22:00:00,2020-04-28,216,41,2,30,115
4480,1549,73,2020-04-27 22:00:00,2020-04-27,247,40,0,29,78
4233,1471,73,2020-04-26 22:00:00,2020-04-26,216,39,1,28,74
4017,1397,72,2020-04-25 22:00:00,2020-04-25,297,38,4,27,40
3720,1357,68,2020-04-24 22:00:00,2020-04-24,319,37,2,26,47
3401,1310,66,2020-04-23 22:00:00,2020-04-23,306,36,5,25,37
3095,1273,61,2020-04-22 22:00:00,2020-04-22,187,35,2,24,43
2908,1230,59,2020-04-21 22:00:00,2020-04-21,105,34,4,23,32
2803,1198,55,2020-04-20 22:00:00,2020-04-20,241,33,4,22,36
2562,1162,51,2020-04-19 22:00:00,2020-04-19,165,32,1,21,38
2397,1124,50,2020-04-18 22:00:00,2020-04-18,239,31,0,20,210
2158,914,50,2020-04-17 22:00:00,2020-04-17,288,30,2,19,0
1870,914,48,2020-04-16 22:00:00,2020-04-16,0,29,0,18,0
1870,914,48,2020-04-15 22:00:00,2020-04-15,138,28,2,17,37
1732,877,46,2020-04-14 22:00:00,2020-04-14,84,27,2,16,54
1648,823,44,2020-04-13 22:00:00,2020-04-13,81,26,4,15,49
1567,774,40,2020-04-12 22:00:00,2020-04-12,67,25,1,14,61
1500,713,39,2020-04-11 22:00:00,2020-04-11,49,24,7,13,121
1451,592,32,2020-04-10 22:00:00,2020-04-10,28,23,3,12,73
1423,519,29,2020-04-09 22:00:00,2020-04-09,50,22,3,11,72
1373,447,26,2020-04-08 22:00:00,2020-04-08,25,21,2,10,86
1348,361,24,2020-04-07 22:00:00,2020-04-07,98,20,1,9,82
1250,279,23,2020-04-06 22:00:00,2020-04-06,69,19,3,8,39
1181,240,20,2020-04-05 22:00:00,2020-04-05,106,18,2,7,44
1075,196,18,2020-04-04 21:00:00,2020-04-04,106,17,5,6,22
969,174,13,2020-04-03 21:00:00,2020-04-03,98,16,2,5,32
871,142,11,2020-04-02 21:00:00,2020-04-02,117,15,2,4,142
754,0,9,2020-04-01 21:00:00,2020-04-01,64,14,1,3,0
690,0,8,2020-03-31 21:00:00,2020-03-31,29,13,5,2,0
661,0,3,2020-03-30 21:00:00,2020-03-30,40,12,1,1,0
621,0,2,2020-03-29 21:00:00,2020-03-29,79,11,0,0,0
542,0,2,2020-03-28 21:00:00,2020-03-28,56,10,0,0,0
486,0,2,2020-03-27 21:10:00,2020-03-27,67,9,0,0,0
419,0,2,2020-03-26 22:20:00,2020-03-26,61,8,0,0,0
358,0,2,2020-03-25 23:20:00,2020-03-25,57,7,1,0,0
301,0,1,2020-03-24 21:20:00,2020-03-24,42,6,0,0,0
259,0,1,2020-03-23 21:40:00,2020-03-23,33,5,0,0,0
226,0,1,2020-03-22 21:00:00,2020-03-22,31,4,0,0,0
195,0,1,2020-03-21 21:00:00,2020-03-21,49,3,0,0,0
146,0,1,2020-03-20 21:20:00,2020-03-20,27,2,1,0,0
119,0,0,2020-03-19 21:30:00,2020-03-19,22,1,0,0,0
97,0,0,2020-03-18 22:00:00,2020-03-18,23,0,0,0,0
74,0,0,2020-03-17 21:00:00,2020-03-17,18,0,0,0,0
56,0,0,2020-03-16 21:00:00,2020-03-16,17,0,0,0,0
39,0,0,2020-03-15 21:00:00,2020-03-15,10,0,0,0,0
29,0,0,2020-03-14 21:00:00,2020-03-14,6,0,0,0,0
23,0,0,2020-03-13 21:00:00,2020-03-13,4,0,0,0,0
19,0,0,2020-03-12 21:00:00,2020-03-12,5,0,0,0,0
14,0,0,2020-03-11 21:00:00,2020-03-11,7,0,0,0,0
7,0,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
4,0,0,2020-03-09 21:00:00,2020-03-09,2,0,0,0,0
2,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
2,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
