Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1785,42,70,2020-04-18 20:00:00,2020-04-18,49,29,6,31,0
1736,42,64,2020-04-17 22:00:00,2020-04-17,73,28,6,30,0
1663,42,58,2020-04-16 22:00:00,2020-04-16,30,27,3,29,4
1633,38,55,2020-04-15 22:00:00,2020-04-15,49,26,2,28,38
1584,0,53,2020-04-14 22:00:00,2020-04-14,57,25,1,27,0
1527,0,52,2020-04-13 22:00:00,2020-04-13,80,24,1,26,0
1447,0,51,2020-04-12 22:00:00,2020-04-12,76,23,3,25,0
1371,0,48,2020-04-11 22:00:00,2020-04-11,50,22,4,24,0
1321,0,44,2020-04-10 22:00:00,2020-04-10,82,21,7,23,0
1239,0,37,2020-04-09 22:00:00,2020-04-09,58,20,4,22,0
1181,0,33,2020-04-08 22:00:00,2020-04-08,49,19,4,21,0
1132,0,29,2020-04-07 22:00:00,2020-04-07,64,18,2,20,0
1068,0,27,2020-04-06 22:00:00,2020-04-06,69,17,1,19,0
999,0,26,2020-04-05 22:00:00,2020-04-05,100,16,4,18,0
899,0,22,2020-04-04 21:00:00,2020-04-04,73,15,1,17,0
826,0,21,2020-04-03 21:00:00,2020-04-03,90,14,2,16,0
736,0,19,2020-04-02 21:00:00,2020-04-02,46,13,1,15,0
690,0,18,2020-04-01 21:00:00,2020-04-01,84,12,2,14,0
606,0,16,2020-03-31 21:00:00,2020-03-31,57,11,3,13,0
549,0,13,2020-03-30 21:00:00,2020-03-30,70,10,0,12,0
479,0,13,2020-03-29 21:00:00,2020-03-29,65,9,1,11,0
414,0,12,2020-03-28 21:00:00,2020-03-28,97,8,1,10,0
317,0,11,2020-03-27 21:10:00,2020-03-27,51,7,1,9,0
266,0,10,2020-03-26 22:20:00,2020-03-26,55,6,2,8,0
211,0,8,2020-03-25 23:20:00,2020-03-25,20,5,3,7,0
191,0,5,2020-03-24 21:20:00,2020-03-24,30,4,0,6,0
161,0,5,2020-03-23 21:40:00,2020-03-23,24,3,1,5,0
137,0,4,2020-03-22 21:00:00,2020-03-22,23,2,0,4,0
114,0,4,2020-03-21 21:00:00,2020-03-21,26,1,1,3,0
88,0,3,2020-03-20 21:20:00,2020-03-20,13,0,0,2,0
75,0,3,2020-03-19 21:30:00,2020-03-19,7,0,1,1,0
68,0,2,2020-03-18 22:00:00,2020-03-18,17,0,1,0,0
51,0,1,2020-03-17 21:00:00,2020-03-17,12,0,0,0,0
39,0,1,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
36,0,1,2020-03-15 21:00:00,2020-03-15,4,0,1,0,0
32,0,0,2020-03-14 21:00:00,2020-03-14,8,0,0,0,0
24,0,0,2020-03-13 21:00:00,2020-03-13,3,0,0,0,0
21,0,0,2020-03-12 21:00:00,2020-03-12,6,0,0,0,0
15,0,0,2020-03-11 21:00:00,2020-03-11,1,0,0,0,0
14,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
14,0,0,2020-03-09 21:00:00,2020-03-09,7,0,0,0,0
7,0,0,2020-03-08 21:00:00,2020-03-08,4,0,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
3,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
3,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
3,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
3,0,0,2020-03-03 21:00:00,2020-03-03,2,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
1,0,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
