Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
599,30,26,2020-04-08 09:00:00,2020-04-08,29,17,3
570,30,23,2020-04-07 22:00:00,2020-04-07,15,16,5
555,23,18,2020-04-06 22:00:00,2020-04-06,72,15,1
483,20,17,2020-04-05 22:00:00,2020-04-05,53,14,5
430,20,12,2020-04-04 21:00:00,2020-04-04,46,13,1
384,17,11,2020-04-03 21:00:00,2020-04-03,30,12,0
354,17,11,2020-04-02 21:00:00,2020-04-02,25,11,2
329,12,9,2020-04-01 21:00:00,2020-04-01,44,10,2
285,12,7,2020-03-31 21:00:00,2020-03-31,26,9,1
259,3,6,2020-03-30 21:00:00,2020-03-30,18,8,2
241,3,4,2020-03-29 21:00:00,2020-03-29,22,7,1
219,3,3,2020-03-28 21:00:00,2020-03-28,18,6,0
201,3,3,2020-03-27 21:10:00,2020-03-27,24,5,0
177,1,3,2020-03-26 22:20:00,2020-03-26,0,4,1
177,1,2,2020-03-25 23:20:00,2020-03-25,41,3,0
136,1,2,2020-03-24 21:20:00,2020-03-24,21,2,0
115,1,2,2020-03-23 21:40:00,2020-03-23,30,1,2
85,1,0,2020-03-22 21:00:00,2020-03-22,8,0,0
77,1,0,2020-03-21 21:00:00,2020-03-21,10,0,0
67,1,0,2020-03-20 21:20:00,2020-03-20,24,0,0
43,1,0,2020-03-19 21:30:00,2020-03-19,12,0,0
31,1,0,2020-03-18 22:00:00,2020-03-18,7,0,0
24,1,0,2020-03-17 21:00:00,2020-03-17,5,0,0
19,1,0,2020-03-16 21:00:00,2020-03-16,0,0,0
19,1,0,2020-03-15 21:00:00,2020-03-15,5,0,0
14,1,0,2020-03-14 21:00:00,2020-03-14,5,0,0
9,1,0,2020-03-13 21:00:00,2020-03-13,0,0,0
9,1,0,2020-03-12 21:00:00,2020-03-12,2,0,0
7,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0
7,0,0,2020-03-10 21:00:00,2020-03-10,4,0,0
3,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0
3,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,2,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0
1,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0
1,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0
1,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
