Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
177,81,0,2020-04-03 15:30:00,2020-04-03,0,12
177,81,0,2020-04-02 22:00:00,2020-04-02,4,11
173,75,0,2020-04-01 22:00:00,2020-04-01,4,10
169,74,0,2020-03-31 22:00:00,2020-03-31,10,9
159,70,0,2020-03-30 22:00:00,2020-03-30,0,8
159,70,0,2020-03-29 22:00:00,2020-03-29,15,7
144,54,0,2020-03-28 22:00:00,2020-03-28,0,6
144,54,0,2020-03-27 22:10:00,2020-03-27,4,5
140,47,0,2020-03-26 23:20:00,2020-03-26,8,4
132,38,0,2020-03-25 23:00:00,2020-03-25,10,3
122,23,0,2020-03-24 22:20:00,2020-03-24,4,2
118,14,0,2020-03-23 22:40:00,2020-03-23,26,1
92,3,0,2020-03-22 22:00:00,2020-03-22,0,0
92,3,0,2020-03-21 22:00:00,2020-03-21,12,0
80,3,0,2020-03-20 22:20:00,2020-03-20,8,0
72,1,0,2020-03-19 22:30:00,2020-03-19,14,0
58,1,0,2020-03-18 23:00:00,2020-03-18,11,0
47,0,0,2020-03-17 22:00:00,2020-03-17,29,0
18,0,0,2020-03-16 22:00:00,2020-03-16,7,0
11,0,0,2020-03-15 22:00:00,2020-03-15,2,0
9,0,0,2020-03-14 22:00:00,2020-03-14,6,0
3,0,0,2020-03-13 22:00:00,2020-03-13,1,0
2,0,0,2020-03-12 22:00:00,2020-03-12,0,0
2,0,0,2020-03-11 22:00:00,2020-03-11,0,0
2,0,0,2020-03-10 22:00:00,2020-03-10,0,0
2,0,0,2020-03-09 22:00:00,2020-03-09,0,0
2,0,0,2020-03-08 22:00:00,2020-03-08,2,0
0,0,0,2020-03-07 22:00:00,2020-03-07,0,0
0,0,0,2020-03-06 22:00:00,2020-03-06,0,0
0,0,0,2020-03-05 22:00:00,2020-03-05,0,0
0,0,0,2020-03-04 22:00:00,2020-03-04,0,0
0,0,0,2020-03-03 22:00:00,2020-03-03,0,0
0,0,0,2020-03-02 22:00:00,2020-03-02,0,0
0,0,0,2020-03-01 22:00:00,2020-03-01,0,0
0,0,0,2020-02-29 22:00:00,2020-02-29,0,0
0,0,0,2020-02-28 22:00:00,2020-02-28,0,0
0,0,0,2020-02-27 22:00:00,2020-02-27,0,0
0,0,0,2020-02-26 22:00:00,2020-02-26,0,0
0,0,0,2020-02-25 22:00:00,2020-02-25,0,0
0,0,0,2020-02-24 22:00:00,2020-02-24,0,0
0,0,0,2020-02-23 22:00:00,2020-02-23,0,0
0,0,0,2020-02-22 22:00:00,2020-02-22,0,0
0,0,0,2020-02-21 22:00:00,2020-02-21,0,0
0,0,0,2020-02-20 22:00:00,2020-02-20,0,0
0,0,0,2020-02-19 22:00:00,2020-02-19,0,0
0,0,0,2020-02-18 22:00:00,2020-02-18,0,0
0,0,0,2020-02-17 22:00:00,2020-02-17,0,0
0,0,0,2020-02-16 22:00:00,2020-02-16,0,0
0,0,0,2020-02-15 22:00:00,2020-02-15,0,0
0,0,0,2020-02-14 22:00:00,2020-02-14,0,0
0,0,0,2020-02-13 22:00:00,2020-02-13,0,0
0,0,0,2020-02-12 22:00:00,2020-02-12,0,0
0,0,0,2020-02-11 21:30:00,2020-02-11,0,0
0,0,0,2020-02-10 22:00:00,2020-02-10,0,0
0,0,0,2020-02-09 22:00:00,2020-02-09,0,0
0,0,0,2020-02-08 22:00:00,2020-02-08,0,0
0,0,0,2020-02-07 22:00:00,2020-02-07,0,0
0,0,0,2020-02-06 22:00:00,2020-02-06,0,0
0,0,0,2020-02-05 22:00:00,2020-02-05,0,0
0,0,0,2020-02-04 21:00:00,2020-02-04,0,0
0,0,0,2020-02-03 21:00:00,2020-02-03,0,0
0,0,0,2020-02-02 21:00:00,2020-02-02,0,0
0,0,0,2020-02-01 11:00:00,2020-02-01,0,0
0,0,0,2020-01-31 13:30:00,2020-01-31,0,0
0,0,0,2020-01-30 13:00:00,2020-01-30,0,0
0,0,0,2020-01-29 15:00:00,2020-01-29,0,0
0,0,0,2020-01-28 12:30:00,2020-01-28,0,0
0,0,0,2020-01-27 15:00:00,2020-01-27,0,0
0,0,0,2020-01-26 14:00:00,2020-01-26,0,0
0,0,0,2020-01-25 16:00:00,2020-01-25,0,0
0,0,0,2020-01-24 16:00:00,2020-01-24,0,0
0,0,0,2020-01-23 16:00:00,2020-01-23,0,0
0,0,0,2020-01-22 16:00:00,2020-01-22,0,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
