Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
1,0,2020-03-19,1,0,0,0,0,0
1,0,2020-03-20,0,0,0,0,0,0
2,0,2020-03-21,1,0,0,0,0,0
2,0,2020-03-22,0,0,0,0,0,0
5,0,2020-03-23,3,0,0,0,0,0
7,0,2020-03-24,2,0,0,0,0,0
7,0,2020-03-25,0,0,0,0,0,0
7,0,2020-03-26,0,0,0,0,0,0
8,0,2020-03-27,1,0,0,0,0,0
9,0,2020-03-28,1,0,0,0,0,0
9,0,2020-03-29,0,0,0,0,0,0
10,0,2020-03-30,1,0,0,0,0,0
11,0,2020-03-31,1,0,0,0,0,0
12,0,2020-04-01,1,0,0,0,0,0
12,0,2020-04-02,0,0,0,0,0,0
12,0,2020-04-03,0,0,0,0,0,0
14,0,2020-04-04,2,0,0,0,0,0
17,0,2020-04-05,3,0,0,0,0,0
17,0,2020-04-06,0,0,0,0,0,0
19,0,2020-04-07,2,0,0,0,0,0
23,0,2020-04-08,4,0,0,0,0,0
23,0,2020-04-09,0,0,0,0,0,0
23,0,2020-04-10,0,0,0,0,0,0
23,0,2020-04-11,0,0,0,0,0,0
25,0,2020-04-12,2,0,0,0,0,0
26,0,2020-04-13,1,0,0,0,0,0
26,0,2020-04-14,0,0,0,0,0,0
26,1,2020-04-15,0,0,1,0,0,0
29,1,2020-04-16,3,0,0,0,0,0
31,1,2020-04-17,2,0,0,0,0,0
33,1,2020-04-18,2,0,0,0,0,0
33,1,2020-04-19,0,0,0,0,0,0
34,1,2020-04-20,1,0,0,0,0,0
37,1,2020-04-21,3,0,0,0,0,0
37,1,2020-04-22,0,0,0,0,0,0
37,2,2020-04-23,0,0,1,0,0,0
43,2,2020-04-24,6,0,0,0,0,0
50,2,2020-04-25,7,0,0,0,0,0
58,2,2020-04-26,8,0,0,0,0,0
67,2,2020-04-27,9,0,0,0,0,0
79,2,2020-04-28,12,0,0,0,0,0
116,3,2020-04-29,37,1,1,1,0,0
137,3,2020-04-30,21,2,0,2,0,0
164,3,2020-05-01,27,3,0,3,0,0
191,4,2020-05-02,27,4,1,4,0,0
246,4,2020-05-03,55,5,0,5,0,0
267,6,2020-05-04,21,6,2,6,0,0
303,7,2020-05-05,36,7,1,7,0,0
351,9,2020-05-06,48,8,2,8,0,0
423,9,2020-05-07,72,9,0,9,0,0
494,9,2020-05-08,71,10,0,10,0,0
572,9,2020-05-09,78,11,0,11,0,0
688,11,2020-05-10,116,12,2,12,0,0
747,12,2020-05-11,59,13,1,13,0,0
828,14,2020-05-12,81,14,2,14,0,0
932,21,2020-05-13,104,15,7,15,0,0
1029,23,2020-05-14,97,16,2,16,0,0
1179,24,2020-05-15,150,17,1,17,0,0
1279,27,2020-05-16,100,18,3,18,0,0
1382,31,2020-05-17,103,19,4,19,0,0
1496,32,2020-05-18,114,20,1,20,0,0
1646,38,2020-05-19,150,21,6,21,0,0
1809,42,2020-05-20,163,22,4,22,0,0
1976,47,2020-05-21,167,23,5,23,0,0
2205,49,2020-05-22,229,24,2,24,0,0
2430,51,2020-05-23,225,25,2,25,0,0
2591,52,2020-05-24,161,26,1,26,0,0
2696,58,2020-05-25,105,27,6,27,0,0
2858,64,2020-05-26,162,28,6,28,0,0
3023,65,2020-05-27,165,29,1,29,0,0
3277,68,2020-05-28,254,30,3,30,0,0
3611,70,2020-05-29,334,31,2,31,0,0
3981,71,2020-05-30,370,32,1,32,0,0
4176,73,2020-05-31,195,33,2,33,0,0
4345,76,2020-06-01,169,34,3,34,0,0
4483,79,2020-06-02,138,35,3,35,0,0
4698,82,2020-06-03,215,36,3,36,0,0
4881,87,2020-06-04,183,37,5,37,0,0
4881,87,2020-06-05,0,38,0,38,0,0
