Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
3970,2245,542,2020-06-05 22:00:00,2020-06-05,16,77,3,78,40
3954,2205,539,2020-06-04 22:00:00,2020-06-04,23,76,5,77,15
3931,2190,534,2020-06-03 22:00:00,2020-06-03,10,75,2,76,30
3921,2160,532,2020-06-02 22:00:00,2020-06-02,29,74,5,75,4
3892,2156,527,2020-06-01 22:00:00,2020-06-01,16,73,1,74,9
3876,2147,526,2020-05-31 22:00:00,2020-05-31,9,72,2,73,5
3867,2142,524,2020-05-30 22:00:00,2020-05-30,26,71,7,72,118
3841,2024,517,2020-05-29 22:00:00,2020-05-29,25,70,8,71,28
3816,1996,509,2020-05-28 22:00:00,2020-05-28,23,69,4,70,140
3793,1856,505,2020-05-27 22:00:00,2020-05-27,22,68,6,69,20
3771,1836,499,2020-05-26 22:00:00,2020-05-26,15,67,8,68,125
3756,1711,491,2020-05-25 22:00:00,2020-05-25,15,66,5,67,21
3741,1690,486,2020-05-24 22:00:00,2020-05-24,28,65,4,66,35
3713,1655,482,2020-05-23 22:00:00,2020-05-23,35,64,6,65,68
3678,1587,476,2020-05-22 22:00:00,2020-05-22,37,63,3,64,78
3641,1509,473,2020-05-21 22:00:00,2020-05-21,43,62,3,63,55
3598,1454,470,2020-05-20 22:00:00,2020-05-20,42,61,3,62,42
3556,1412,467,2020-05-19 22:00:00,2020-05-19,21,60,5,61,12
3535,1400,462,2020-05-18 22:00:00,2020-05-18,26,59,11,60,4
3509,1396,451,2020-05-17 22:00:00,2020-05-17,36,58,3,59,25
3473,1371,448,2020-05-16 22:00:00,2020-05-16,56,57,6,58,84
3417,1287,442,2020-05-15 22:00:00,2020-05-15,37,56,6,57,118
3380,1169,436,2020-05-14 22:00:00,2020-05-14,39,55,6,56,67
3341,1102,430,2020-05-13 22:00:00,2020-05-13,28,54,5,55,95
3313,1007,425,2020-05-12 22:00:00,2020-05-12,29,53,4,54,49
3284,958,421,2020-05-11 22:00:00,2020-05-11,21,52,8,53,25
3263,933,413,2020-05-10 22:00:00,2020-05-10,50,51,8,52,29
3213,904,405,2020-05-09 22:00:00,2020-05-09,35,50,13,51,39
3178,865,392,2020-05-08 22:00:00,2020-05-08,28,49,9,50,64
3150,801,383,2020-05-07 22:00:00,2020-05-07,39,48,10,49,42
3111,759,373,2020-05-06 22:00:00,2020-05-06,46,47,10,48,50
3065,709,363,2020-05-05 22:00:00,2020-05-05,30,46,12,47,79
3035,630,351,2020-05-04 22:00:00,2020-05-04,37,45,11,46,1
2998,629,340,2020-05-03 22:00:00,2020-05-03,56,44,5,45,4
2942,625,335,2020-05-02 22:00:00,2020-05-02,79,43,12,44,16
2863,609,323,2020-05-01 22:00:00,2020-05-01,88,42,11,43,28
2775,581,312,2020-04-30 22:00:00,2020-04-30,48,41,12,42,45
2727,536,300,2020-04-29 22:00:00,2020-04-29,78,40,9,41,20
2649,516,291,2020-04-28 22:00:00,2020-04-28,66,39,11,40,18
2583,498,280,2020-04-27 22:00:00,2020-04-27,83,38,8,39,13
2500,485,272,2020-04-26 22:00:00,2020-04-26,57,37,10,38,27
2443,458,262,2020-04-25 22:00:00,2020-04-25,60,36,12,37,57
2383,401,250,2020-04-24 22:00:00,2020-04-24,99,35,11,36,11
2284,390,239,2020-04-23 22:00:00,2020-04-23,116,34,14,35,95
2168,295,225,2020-04-22 22:00:00,2020-04-22,70,33,12,34,8
2098,287,213,2020-04-21 22:00:00,2020-04-21,114,32,14,33,20
1984,267,199,2020-04-20 22:00:00,2020-04-20,68,31,10,32,17
1916,250,189,2020-04-19 22:00:00,2020-04-19,82,30,17,31,19
1834,231,172,2020-04-18 22:00:00,2020-04-18,71,29,16,30,24
1763,207,156,2020-04-17 22:00:00,2020-04-17,111,28,14,29,8
1652,199,142,2020-04-16 22:00:00,2020-04-16,73,27,8,28,7
1579,192,134,2020-04-15 22:00:00,2020-04-15,67,26,12,27,70
1512,122,122,2020-04-14 22:00:00,2020-04-14,54,25,13,26,2
1458,120,109,2020-04-13 22:00:00,2020-04-13,48,24,10,25,2
1410,118,99,2020-04-12 22:00:00,2020-04-12,100,23,14,24,3
1310,115,85,2020-04-11 22:00:00,2020-04-11,120,22,8,23,3
1190,112,77,2020-04-10 22:00:00,2020-04-10,210,21,11,22,16
980,96,66,2020-04-09 22:00:00,2020-04-09,85,20,8,21,2
895,94,58,2020-04-08 22:00:00,2020-04-08,78,19,11,20,23
817,71,47,2020-04-07 22:00:00,2020-04-07,73,18,9,19,4
744,67,38,2020-04-06 22:00:00,2020-04-06,11,17,4,18,1
733,66,34,2020-04-05 22:00:00,2020-04-05,55,16,2,17,8
678,58,32,2020-04-04 21:00:00,2020-04-04,55,15,6,16,15
623,43,26,2020-04-03 21:00:00,2020-04-03,38,14,5,15,1
585,42,21,2020-04-02 21:00:00,2020-04-02,60,13,1,14,2
525,40,20,2020-04-01 21:00:00,2020-04-01,33,12,4,13,3
492,37,16,2020-03-31 21:00:00,2020-03-31,45,11,1,12,3
447,34,15,2020-03-30 21:00:00,2020-03-30,39,10,2,11,0
408,34,13,2020-03-29 21:00:00,2020-03-29,65,9,2,10,0
343,34,11,2020-03-28 21:00:00,2020-03-28,43,8,1,9,0
300,34,10,2020-03-27 21:10:00,2020-03-27,39,7,0,8,6
261,28,10,2020-03-26 22:20:00,2020-03-26,35,6,0,7,7
226,21,10,2020-03-25 23:20:00,2020-03-25,39,5,1,6,0
187,21,9,2020-03-24 21:20:00,2020-03-24,20,4,2,5,5
167,16,7,2020-03-23 21:40:00,2020-03-23,36,3,1,4,0
131,16,6,2020-03-22 21:00:00,2020-03-22,28,2,2,3,9
103,7,4,2020-03-21 21:00:00,2020-03-21,18,1,1,2,0
85,7,3,2020-03-20 21:20:00,2020-03-20,12,0,2,1,5
73,2,1,2020-03-19 21:30:00,2020-03-19,15,0,0,0,0
58,2,1,2020-03-18 22:00:00,2020-03-18,8,0,0,0,0
50,2,1,2020-03-17 21:00:00,2020-03-17,11,0,0,0,1
39,1,1,2020-03-16 21:00:00,2020-03-16,7,0,1,0,0
32,1,0,2020-03-15 21:00:00,2020-03-15,7,0,0,0,0
25,1,0,2020-03-14 21:00:00,2020-03-14,6,0,0,0,1
19,0,0,2020-03-13 21:00:00,2020-03-13,3,0,0,0,0
16,0,0,2020-03-12 21:00:00,2020-03-12,3,0,0,0,0
13,0,0,2020-03-11 21:00:00,2020-03-11,1,0,0,0,0
12,0,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
9,0,0,2020-03-09 21:00:00,2020-03-09,4,0,0,0,0
5,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
5,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
4,0,0,2020-03-06 21:00:00,2020-03-06,2,0,0,0,0
2,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
