Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
0,0,2020-03-19,0,0,0,0,0,0
3,0,2020-03-20,3,0,0,0,0,0
4,0,2020-03-21,1,0,0,0,0,0
4,0,2020-03-22,0,0,0,0,0,0
6,0,2020-03-23,2,0,0,0,0,0
6,0,2020-03-24,0,0,0,0,0,0
8,0,2020-03-25,2,0,0,0,0,0
9,0,2020-03-26,1,0,0,0,0,0
9,0,2020-03-27,0,0,0,0,0,0
11,1,2020-03-28,2,0,1,0,0,0
14,1,2020-03-29,3,0,0,0,0,0
16,3,2020-03-30,2,0,2,1,0,0
18,4,2020-03-31,2,0,1,2,0,0
18,4,2020-04-01,0,0,0,3,0,0
19,4,2020-04-02,1,0,0,4,0,0
21,4,2020-04-03,2,0,0,5,0,0
22,4,2020-04-04,1,0,0,6,0,0
23,4,2020-04-05,1,0,0,7,0,0
23,4,2020-04-06,0,0,0,8,0,0
28,4,2020-04-07,5,0,0,9,0,0
31,5,2020-04-08,3,0,1,10,0,0
38,6,2020-04-09,7,0,1,11,0,0
40,7,2020-04-10,2,0,1,12,0,0
41,7,2020-04-11,1,0,0,13,0,0
44,7,2020-04-12,3,0,0,14,0,0
50,8,2020-04-13,6,0,1,15,0,0
58,8,2020-04-14,8,0,0,16,0,0
75,8,2020-04-15,17,0,0,17,0,0
91,8,2020-04-16,16,0,0,18,0,0
102,8,2020-04-17,11,1,0,19,0,0
123,9,2020-04-18,21,2,1,20,0,0
145,10,2020-04-19,22,3,1,21,0,0
158,12,2020-04-20,13,4,2,22,0,0
186,14,2020-04-21,28,5,2,23,0,0
206,15,2020-04-22,20,6,1,24,0,0
217,15,2020-04-23,11,7,0,25,0,0
256,16,2020-04-24,39,8,1,26,0,0
297,17,2020-04-25,41,9,1,27,0,0
331,18,2020-04-26,34,10,1,28,0,0
364,20,2020-04-27,33,11,2,29,0,0
408,21,2020-04-28,44,12,1,30,0,0
454,24,2020-04-29,46,13,3,31,0,0
513,24,2020-04-30,59,14,0,32,0,0
600,24,2020-05-01,87,15,0,33,0,0
665,26,2020-05-02,65,16,2,34,0,0
742,28,2020-05-03,77,17,2,35,0,0
784,28,2020-05-04,42,18,0,36,0,0
875,29,2020-05-05,91,19,1,37,0,0
949,30,2020-05-06,74,20,1,38,0,0
1051,35,2020-05-07,102,21,5,39,0,0
1131,37,2020-05-08,80,22,2,40,0,0
1233,38,2020-05-09,102,23,1,41,0,0
1278,42,2020-05-10,45,24,4,42,0,0
1332,49,2020-05-11,54,25,7,43,0,0
1443,49,2020-05-12,111,26,0,44,0,0
