Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
1,0,2020-03-19,1,0,0,0,0,0
2,0,2020-03-20,1,0,0,0,0,0
2,0,2020-03-21,0,0,0,0,0,0
4,0,2020-03-22,2,0,0,0,0,0
5,0,2020-03-23,1,0,0,0,0,0
5,0,2020-03-24,0,0,0,0,0,0
7,0,2020-03-25,2,0,0,0,0,0
13,0,2020-03-26,6,0,0,0,0,0
13,0,2020-03-27,0,0,0,0,0,0
17,0,2020-03-28,4,0,0,0,0,0
18,0,2020-03-29,1,0,0,0,0,0
21,0,2020-03-30,3,0,0,0,0,0
32,0,2020-03-31,11,0,0,0,0,0
40,1,2020-04-01,8,0,1,0,0,0
46,1,2020-04-02,6,0,0,0,0,0
50,1,2020-04-03,4,0,0,0,0,0
80,1,2020-04-04,30,0,0,0,0,0
86,1,2020-04-05,6,0,0,0,0,0
102,3,2020-04-06,16,1,2,1,0,0
138,5,2020-04-07,36,2,2,2,0,0
167,6,2020-04-08,29,3,1,3,0,0
168,7,2020-04-09,1,4,1,4,0,0
170,9,2020-04-10,2,5,2,5,0,0
217,10,2020-04-11,47,6,1,6,0,0
246,13,2020-04-12,29,7,3,7,0,0
270,15,2020-04-13,24,8,2,8,0,0
323,19,2020-04-14,53,9,4,9,0,0
384,21,2020-04-15,61,10,2,10,0,0
438,24,2020-04-16,54,11,3,11,0,0
557,26,2020-04-17,119,12,2,12,0,0
640,33,2020-04-18,83,13,7,13,0,0
685,34,2020-04-19,45,14,1,14,0,0
902,35,2020-04-20,217,15,1,15,0,0
1026,38,2020-04-21,124,16,3,16,0,0
1195,43,2020-04-22,169,17,5,17,0,0
1267,53,2020-04-23,72,18,10,18,0,0
1446,75,2020-04-24,179,19,22,19,0,0
1579,86,2020-04-25,133,20,11,20,0,0
1867,100,2020-04-26,288,21,14,21,0,0
2128,114,2020-04-27,261,22,14,22,0,0
2262,129,2020-04-28,134,23,15,23,0,0
2422,137,2020-04-29,160,24,8,24,0,0
2876,208,2020-04-30,454,25,71,25,0,0
3176,235,2020-05-01,300,26,27,26,0,0
3460,273,2020-05-02,284,27,38,27,0,0
3863,309,2020-05-03,403,28,36,28,0,0
4125,330,2020-05-04,262,29,21,29,0,0
4472,369,2020-05-05,347,30,39,30,0,0
5017,392,2020-05-06,545,31,23,31,0,0
5524,410,2020-05-07,507,32,18,32,0,0
6141,515,2020-05-08,617,33,105,33,0,0
6775,578,2020-05-09,634,34,63,34,0,0
7256,652,2020-05-10,481,35,74,35,0,0
8069,812,2020-05-11,813,36,160,36,0,0
9059,914,2020-05-12,990,37,102,37,0,0
9618,946,2020-05-13,559,38,32,38,0,0
11479,1063,2020-05-14,1861,39,117,39,0,0
12109,1145,2020-05-15,630,40,82,40,0,0
13184,1200,2020-05-16,1075,41,55,41,0,0
14201,1240,2020-05-17,1017,42,40,42,0,0
15467,1392,2020-05-18,1266,43,152,43,0,0
16295,1520,2020-05-19,828,44,128,44,0,0
18135,1634,2020-05-20,1840,45,114,45,0,0
19756,1853,2020-05-21,1621,46,219,46,0,0
21469,1939,2020-05-22,1713,47,86,47,0,0
23622,2100,2020-05-23,2153,48,161,48,0,0
24815,2290,2020-05-24,1193,49,190,49,0,0
26077,2375,2020-05-25,1262,50,85,50,0,0
29882,2522,2020-05-26,3805,51,147,51,0,0
31033,2553,2020-05-27,1151,52,31,52,0,0
35132,2785,2020-05-28,4099,53,232,53,0,0
37296,2900,2020-05-29,2164,54,115,54,0,0
37452,2915,2020-05-30,156,55,15,55,0,0
38046,2923,2020-05-31,594,56,8,56,0,0
40014,3019,2020-06-01,1968,57,96,57,0,0
43652,3144,2020-06-02,3638,58,125,58,0,0
46473,3245,2020-06-03,2821,59,101,59,0,0
49473,3492,2020-06-04,3000,60,247,60,0,0
52623,3573,2020-06-05,3150,61,81,61,0,0
53860,3665,2020-06-06,1237,62,92,62,0,0
54798,3714,2020-06-07,938,63,49,63,0,0
57570,3835,2020-06-08,2772,64,121,64,0,0
60636,3898,2020-06-09,3066,65,63,65,0,0
62095,3927,2020-06-10,1459,66,29,66,0,0
65151,4030,2020-06-11,3056,67,103,67,0,0
66328,4132,2020-06-12,1177,68,102,68,0,0
68510,4191,2020-06-13,2182,69,59,69,0,0
69224,4201,2020-06-14,714,70,10,70,0,0
71243,4291,2020-06-15,2019,71,90,71,0,0
74192,4350,2020-06-16,2949,72,59,72,0,0
76623,4395,2020-06-17,2431,73,45,73,0,0
80072,4469,2020-06-18,3449,74,74,74,0,0
82881,4519,2020-06-19,2809,75,50,75,0,0
82881,4519,2020-06-20,0,76,0,76,0,0
86020,4605,2020-06-21,3139,77,86,77,0,0
88636,4672,2020-06-22,2616,78,67,78,0,0
91708,4726,2020-06-23,3072,79,54,79,0,0
94036,4748,2020-06-24,2328,80,22,80,0,0
96472,4803,2020-06-25,2436,81,55,81,0,0
99313,4834,2020-06-26,2841,82,31,82,0,0
100443,4845,2020-06-27,1130,83,11,83,0,0
101207,4870,2020-06-28,764,84,25,84,0,0
103206,4920,2020-06-29,1999,85,50,85,0,0
105853,4960,2020-06-30,2647,86,40,86,0,0
105853,4960,2020-07-01,0,87,0,87,0,0
