Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1692,424,7,2020-04-22 22:00:00,2020-04-22,35,26,2,15,163
1657,261,5,2020-04-21 22:00:00,2020-04-21,75,25,0,14,21
1582,240,5,2020-04-20 22:00:00,2020-04-20,87,24,0,13,26
1495,214,5,2020-04-19 22:00:00,2020-04-19,45,23,1,12,46
1450,168,4,2020-04-18 22:00:00,2020-04-18,70,22,0,11,28
1380,140,4,2020-04-17 22:00:00,2020-04-17,31,21,0,10,33
1349,107,4,2020-04-16 22:00:00,2020-04-16,74,20,0,9,8
1275,99,4,2020-04-15 22:00:00,2020-04-15,162,19,0,8,0
1113,99,4,2020-04-14 22:00:00,2020-04-14,217,18,0,7,29
896,70,4,2020-04-13 22:00:00,2020-04-13,63,17,0,6,28
833,42,4,2020-04-12 22:00:00,2020-04-12,104,16,1,5,0
729,42,3,2020-04-11 22:00:00,2020-04-11,105,15,0,4,0
624,42,3,2020-04-10 22:00:00,2020-04-10,69,14,0,3,12
555,30,3,2020-04-09 22:00:00,2020-04-09,21,13,0,2,0
534,30,3,2020-04-08 22:00:00,2020-04-08,30,12,1,1,0
504,30,2,2020-04-07 22:00:00,2020-04-07,114,11,0,0,0
390,30,2,2020-04-06 22:00:00,2020-04-06,92,10,0,0,5
298,25,2,2020-04-05 22:00:00,2020-04-05,57,9,0,0,0
241,25,2,2020-04-04 21:00:00,2020-04-04,20,8,0,0,0
221,25,2,2020-04-03 21:00:00,2020-04-03,31,7,0,0,13
190,12,2,2020-04-02 21:00:00,2020-04-02,17,6,0,0,4
173,8,2,2020-04-01 21:00:00,2020-04-01,15,5,0,0,1
158,7,2,2020-03-31 21:00:00,2020-03-31,14,4,0,0,0
144,7,2,2020-03-30 21:00:00,2020-03-30,11,3,0,0,0
133,7,2,2020-03-29 21:00:00,2020-03-29,29,2,0,0,2
104,5,2,2020-03-28 21:00:00,2020-03-28,21,1,1,0,0
83,5,1,2020-03-27 21:10:00,2020-03-27,18,0,1,0,5
65,0,0,2020-03-26 22:20:00,2020-03-26,9,0,0,0,0
56,0,0,2020-03-25 23:20:00,2020-03-25,7,0,0,0,0
49,0,0,2020-03-24 21:20:00,2020-03-24,3,0,0,0,0
46,0,0,2020-03-23 21:40:00,2020-03-23,4,0,0,0,0
42,0,0,2020-03-22 21:00:00,2020-03-22,5,0,0,0,0
37,0,0,2020-03-21 21:00:00,2020-03-21,4,0,0,0,0
33,0,0,2020-03-20 21:20:00,2020-03-20,10,0,0,0,0
23,0,0,2020-03-19 21:30:00,2020-03-19,8,0,0,0,0
15,0,0,2020-03-18 22:00:00,2020-03-18,5,0,0,0,0
10,0,0,2020-03-17 21:00:00,2020-03-17,4,0,0,0,0
6,0,0,2020-03-16 21:00:00,2020-03-16,5,0,0,0,0
1,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
