Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
5,0,2020-03-17,5,0,0,0,0,0
9,0,2020-03-18,4,0,0,0,0,0
20,0,2020-03-19,11,0,0,0,0,0
55,0,2020-03-20,35,0,0,0,0,0
68,0,2020-03-21,13,0,0,0,0,0
112,0,2020-03-22,44,1,0,0,0,0
163,0,2020-03-23,51,2,0,0,0,0
182,0,2020-03-24,19,3,0,0,0,0
200,0,2020-03-25,18,4,0,0,0,0
235,3,2020-03-26,35,5,3,1,0,0
282,3,2020-03-27,47,6,0,2,0,0
314,4,2020-03-28,32,7,1,3,0,0
348,5,2020-03-29,34,8,1,4,0,0
372,5,2020-03-30,24,9,0,5,0,0
390,7,2020-03-31,18,10,2,6,0,0
444,8,2020-04-01,54,11,1,7,0,0
550,20,2020-04-02,106,12,12,8,0,0
627,22,2020-04-03,77,13,2,9,0,0
730,22,2020-04-04,103,14,0,10,0,0
823,26,2020-04-05,93,15,4,11,0,0
1013,29,2020-04-06,190,16,3,12,0,0
1051,31,2020-04-07,38,17,2,13,0,0
1291,43,2020-04-08,240,18,12,14,0,0
1425,55,2020-04-09,134,19,12,15,0,0
1478,58,2020-04-10,53,20,3,16,0,0
1582,67,2020-04-11,104,21,9,17,0,0
1676,74,2020-04-12,94,22,7,18,0,0
1800,91,2020-04-13,124,23,17,19,0,0
2005,107,2020-04-14,205,24,16,20,0,0
2157,116,2020-04-15,152,25,9,21,0,0
2386,124,2020-04-16,229,26,8,22,0,0
2684,149,2020-04-17,298,27,25,23,0,0
3034,176,2020-04-18,350,28,27,24,0,0
3252,186,2020-04-19,218,29,10,25,0,0
3482,198,2020-04-20,230,30,12,26,0,0
3716,215,2020-04-21,234,31,17,27,0,0
3910,233,2020-04-22,194,32,18,28,0,0
4598,266,2020-04-23,688,33,33,29,0,0
4800,284,2020-04-24,202,34,18,30,0,0
5421,310,2020-04-25,621,35,26,31,0,0
5833,327,2020-04-26,412,36,17,32,0,0
6726,390,2020-04-27,893,37,63,33,0,0
6918,403,2020-04-28,192,38,13,34,0,0
7267,441,2020-04-29,349,39,38,35,0,0
7606,482,2020-04-30,339,40,41,36,0,0
7879,505,2020-05-01,273,41,23,37,0,0
8231,614,2020-05-02,352,42,109,38,0,0
8370,663,2020-05-03,139,43,49,39,0,0
8501,691,2020-05-04,131,44,28,40,0,0
11470,795,2020-05-05,2969,45,104,41,0,0
12304,848,2020-05-06,834,46,53,42,0,0
13888,903,2020-05-07,1584,47,55,43,0,0
14956,966,2020-05-08,1068,48,63,44,0,0
15879,1062,2020-05-09,923,49,96,45,0,0
16692,1114,2020-05-10,813,50,52,46,0,0
17599,1189,2020-05-11,907,51,75,47,0,0
18412,1280,2020-05-12,813,52,91,48,0,0
19156,1389,2020-05-13,744,53,109,49,0,0
20817,1413,2020-05-14,1661,54,24,50,0,0
22490,1476,2020-05-15,1673,55,63,51,0,0
23795,1592,2020-05-16,1305,56,116,52,0,0
24255,1614,2020-05-17,460,57,22,53,0,0
26363,1748,2020-05-18,2108,58,134,54,0,0
28112,1856,2020-05-19,1749,59,108,55,0,0
30560,1900,2020-05-20,2448,60,44,56,0,0
31147,2043,2020-05-21,587,61,143,57,0,0
31413,2161,2020-05-22,266,62,118,58,0,0
