Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
435,331,4,2020-04-18 07:30:00,2020-04-18,0,28,0,10,0
435,331,4,2020-04-17 22:00:00,2020-04-17,1,27,0,9,23
434,308,4,2020-04-16 22:00:00,2020-04-16,1,26,0,8,29
433,279,4,2020-04-15 22:00:00,2020-04-15,0,25,0,7,26
433,253,4,2020-04-14 22:00:00,2020-04-14,2,24,0,6,13
431,240,4,2020-04-13 22:00:00,2020-04-13,2,23,0,5,61
429,179,4,2020-04-12 22:00:00,2020-04-12,0,22,1,4,0
429,179,3,2020-04-11 22:00:00,2020-04-11,1,21,0,3,0
428,179,3,2020-04-10 22:00:00,2020-04-10,7,20,0,2,59
421,120,3,2020-04-09 22:00:00,2020-04-09,1,19,1,1,67
420,53,2,2020-04-08 22:00:00,2020-04-08,5,18,1,0,0
415,53,1,2020-04-07 22:00:00,2020-04-07,4,17,1,0,2
411,51,0,2020-04-06 21:00:00,2020-04-06,2,16,0,0,0
409,51,0,2020-04-05 22:00:00,2020-04-05,2,15,0,0,7
407,44,0,2020-04-04 21:00:00,2020-04-04,11,14,0,0,0
396,44,0,2020-04-03 21:00:00,2020-04-03,11,13,0,0,38
385,6,0,2020-04-02 21:00:00,2020-04-02,18,12,0,0,0
367,6,0,2020-04-01 21:00:00,2020-04-01,30,11,0,0,0
337,6,0,2020-03-31 21:00:00,2020-03-31,32,10,0,0,0
305,6,0,2020-03-30 21:00:00,2020-03-30,6,9,0,0,0
299,6,0,2020-03-29 21:00:00,2020-03-29,12,8,0,0,0
287,6,0,2020-03-28 21:00:00,2020-03-28,30,7,0,0,0
257,6,0,2020-03-27 21:10:00,2020-03-27,22,6,0,0,0
235,6,0,2020-03-26 22:20:00,2020-03-26,38,5,0,0,0
197,6,0,2020-03-25 23:20:00,2020-03-25,27,4,0,0,0
170,6,0,2020-03-24 21:20:00,2020-03-24,36,3,0,0,0
134,6,0,2020-03-23 21:40:00,2020-03-23,34,2,0,0,0
100,6,0,2020-03-22 21:00:00,2020-03-22,33,1,0,0,0
67,6,0,2020-03-21 21:00:00,2020-03-21,17,0,0,0,0
50,6,0,2020-03-20 21:20:00,2020-03-20,8,0,0,0,0
42,6,0,2020-03-19 21:30:00,2020-03-19,5,0,0,0,1
37,5,0,2020-03-18 22:00:00,2020-03-18,5,0,0,0,0
32,5,0,2020-03-17 21:00:00,2020-03-17,3,0,0,0,0
29,5,0,2020-03-16 21:00:00,2020-03-16,9,0,0,0,0
20,5,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,1
19,4,0,2020-03-14 21:00:00,2020-03-14,3,0,0,0,0
16,4,0,2020-03-13 21:00:00,2020-03-13,4,0,0,0,0
12,4,0,2020-03-12 21:00:00,2020-03-12,3,0,0,0,0
9,4,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,1
7,3,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,1
7,2,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
7,2,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
7,2,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
7,2,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
7,2,0,2020-03-05 21:00:00,2020-03-05,3,0,0,0,0
4,2,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
3,2,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
3,2,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
3,2,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
3,2,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
3,2,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
3,2,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
3,2,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
3,2,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
3,2,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
3,2,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
3,2,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
3,2,0,2020-02-21 21:00:00,2020-02-21,1,0,0,0,0
2,2,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,2
2,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
2,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
2,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
2,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
2,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
2,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
2,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
2,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
