Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2208,468,95,2020-04-13 21:00:00,2020-04-13,66,25,6,26,28
2142,440,89,2020-04-12 22:00:00,2020-04-12,167,24,7,25,65
1975,375,82,2020-04-11 22:00:00,2020-04-11,81,23,3,24,10
1894,365,79,2020-04-10 22:00:00,2020-04-10,99,22,14,23,7
1795,358,65,2020-04-09 22:00:00,2020-04-09,80,21,5,22,20
1715,338,60,2020-04-08 22:00:00,2020-04-08,87,20,7,21,13
1628,325,53,2020-04-07 22:00:00,2020-04-07,74,19,7,20,45
1554,280,46,2020-04-06 22:00:00,2020-04-06,103,18,3,19,1
1451,279,43,2020-04-05 22:00:00,2020-04-05,98,17,1,18,13
1353,266,42,2020-04-04 21:00:00,2020-04-04,88,16,5,17,10
1265,256,37,2020-04-03 21:00:00,2020-04-03,132,15,4,16,8
1133,248,33,2020-04-02 21:00:00,2020-04-02,79,14,6,15,8
1054,240,27,2020-04-01 21:00:00,2020-04-01,88,13,3,14,12
966,228,24,2020-03-31 21:00:00,2020-03-31,146,12,4,13,137
820,91,20,2020-03-30 21:00:00,2020-03-30,75,11,1,12,19
745,72,19,2020-03-29 21:00:00,2020-03-29,55,10,2,11,0
690,72,17,2020-03-28 21:00:00,2020-03-28,101,9,5,10,0
589,72,12,2020-03-27 21:10:00,2020-03-27,87,8,4,9,20
502,52,8,2020-03-26 22:20:00,2020-03-26,115,7,2,8,0
387,52,6,2020-03-25 23:20:00,2020-03-25,86,6,2,7,1
301,51,4,2020-03-24 21:20:00,2020-03-24,35,5,0,6,24
266,27,4,2020-03-23 21:40:00,2020-03-23,41,4,0,5,0
225,27,4,2020-03-22 21:00:00,2020-03-22,67,3,1,4,24
158,3,3,2020-03-21 21:00:00,2020-03-21,30,2,0,3,0
128,3,3,2020-03-20 21:20:00,2020-03-20,31,1,0,2,0
97,3,3,2020-03-19 21:30:00,2020-03-19,18,0,1,1,0
79,3,2,2020-03-18 22:00:00,2020-03-18,14,0,0,0,0
65,3,2,2020-03-17 21:00:00,2020-03-17,9,0,0,0,0
56,3,2,2020-03-16 21:00:00,2020-03-16,11,0,0,0,3
45,0,2,2020-03-15 21:00:00,2020-03-15,11,0,0,0,0
34,0,2,2020-03-14 21:00:00,2020-03-14,3,0,1,0,0
31,0,1,2020-03-13 21:00:00,2020-03-13,10,0,0,0,0
21,0,1,2020-03-12 21:00:00,2020-03-12,2,0,0,0,0
19,0,1,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
17,0,1,2020-03-10 21:00:00,2020-03-10,5,0,0,0,0
12,0,1,2020-03-09 21:00:00,2020-03-09,3,0,0,0,0
9,0,1,2020-03-08 21:00:00,2020-03-08,1,0,1,0,0
8,0,0,2020-03-07 21:00:00,2020-03-07,6,0,0,0,0
2,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
