Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
541,55,19,2020-04-06 22:00:00,2020-04-06,14,22,1
527,54,18,2020-04-05 22:00:00,2020-04-05,7,21,1
520,50,17,2020-04-04 21:00:00,2020-04-04,12,20,0
508,46,17,2020-04-03 21:00:00,2020-04-03,14,19,1
494,43,16,2020-04-02 21:00:00,2020-04-02,15,18,4
479,37,12,2020-04-01 21:00:00,2020-04-01,16,17,0
463,35,12,2020-03-31 21:00:00,2020-03-31,17,16,1
446,32,11,2020-03-30 21:00:00,2020-03-30,8,15,1
438,30,10,2020-03-29 21:00:00,2020-03-29,26,14,2
412,27,8,2020-03-28 21:00:00,2020-03-28,44,13,2
368,23,6,2020-03-27 21:10:00,2020-03-27,0,12,0
368,20,6,2020-03-26 22:20:00,2020-03-26,35,11,2
333,8,4,2020-03-25 23:20:00,2020-03-25,29,10,0
304,8,4,2020-03-24 21:20:00,2020-03-24,48,9,0
256,8,4,2020-03-23 21:40:00,2020-03-23,26,8,0
230,8,4,2020-03-22 21:00:00,2020-03-22,43,7,0
187,4,4,2020-03-21 21:00:00,2020-03-21,24,6,0
163,4,4,2020-03-20 21:20:00,2020-03-20,24,5,0
139,4,4,2020-03-19 21:30:00,2020-03-19,6,4,0
133,4,4,2020-03-18 22:00:00,2020-03-18,13,3,1
120,3,3,2020-03-17 21:00:00,2020-03-17,10,2,0
110,1,3,2020-03-16 21:00:00,2020-03-16,11,1,0
99,1,3,2020-03-15 21:00:00,2020-03-15,6,0,0
93,1,3,2020-03-14 21:00:00,2020-03-14,16,0,0
77,1,3,2020-03-13 21:00:00,2020-03-13,9,0,0
68,1,3,2020-03-12 21:00:00,2020-03-12,9,0,1
59,1,2,2020-03-11 21:00:00,2020-03-11,18,0,1
41,1,1,2020-03-10 21:00:00,2020-03-10,9,0,1
32,1,0,2020-03-09 21:00:00,2020-03-09,4,0,0
28,1,0,2020-03-08 21:00:00,2020-03-08,6,0,0
22,1,0,2020-03-07 21:00:00,2020-03-07,6,0,0
16,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0
15,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0
13,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0
13,0,0,2020-03-03 21:00:00,2020-03-03,3,0,0
10,0,0,2020-03-02 21:00:00,2020-03-02,3,0,0
7,0,0,2020-03-01 21:00:00,2020-03-01,3,0,0
4,0,0,2020-02-29 21:00:00,2020-02-29,1,0,0
3,0,0,2020-02-28 21:00:00,2020-02-28,1,0,0
2,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0
1,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0
1,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0
1,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0
1,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
1,0,0,2020-02-22 21:00:00,2020-02-22,1,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
