Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1740,1153,34,2020-06-29 22:00:00,2020-06-29,21,106,1,110,0
1719,1153,33,2020-06-28 22:00:00,2020-06-28,22,105,0,109,9
1697,1144,33,2020-06-27 22:00:00,2020-06-27,35,104,0,108,0
1662,1144,33,2020-06-26 22:00:00,2020-06-26,18,103,0,107,41
1644,1103,33,2020-06-25 22:00:00,2020-06-25,22,102,1,106,5
1622,1098,32,2020-06-24 22:00:00,2020-06-24,19,101,0,105,21
1603,1077,32,2020-06-23 22:00:00,2020-06-23,16,100,0,104,9
1587,1068,32,2020-06-22 22:00:00,2020-06-22,51,99,0,103,62
1536,1006,32,2020-06-21 22:00:00,2020-06-21,26,98,0,102,46
1510,960,32,2020-06-20 22:00:00,2020-06-20,15,97,0,101,16
1495,944,32,2020-06-19 22:00:00,2020-06-19,6,96,0,100,37
1489,907,32,2020-06-18 22:00:00,2020-06-18,16,95,0,99,18
1473,889,32,2020-06-17 22:00:00,2020-06-17,9,94,0,98,14
1464,875,32,2020-06-16 22:00:00,2020-06-16,18,93,0,97,7
1446,868,32,2020-06-15 22:00:00,2020-06-15,4,92,0,96,0
1442,868,32,2020-06-14 22:00:00,2020-06-14,20,91,1,95,15
1422,853,31,2020-06-13 22:00:00,2020-06-13,20,90,0,94,8
1402,845,31,2020-06-12 22:00:00,2020-06-12,14,89,1,93,13
1388,832,30,2020-06-11 22:00:00,2020-06-11,20,88,0,92,37
1368,795,30,2020-06-10 22:00:00,2020-06-10,18,87,0,91,16
1350,779,30,2020-06-09 22:00:00,2020-06-09,19,86,0,90,11
1331,768,30,2020-06-08 22:00:00,2020-06-08,0,85,0,89,0
1331,768,30,2020-06-07 22:00:00,2020-06-07,19,84,2,88,0
1312,768,28,2020-06-06 22:00:00,2020-06-06,0,83,0,87,37
1312,731,28,2020-06-05 22:00:00,2020-06-05,56,82,1,86,7
1256,724,27,2020-06-04 22:00:00,2020-06-04,14,81,0,85,5
1242,719,27,2020-06-03 22:00:00,2020-06-03,0,80,0,84,0
1242,719,27,2020-06-02 22:00:00,2020-06-02,22,79,0,83,7
1220,712,27,2020-06-01 22:00:00,2020-06-01,29,78,1,82,4
1191,708,26,2020-05-31 22:00:00,2020-05-31,19,77,0,81,3
1172,705,26,2020-05-30 22:00:00,2020-05-30,0,76,0,80,0
1172,705,26,2020-05-29 22:00:00,2020-05-29,4,75,0,79,13
1168,692,26,2020-05-28 22:00:00,2020-05-28,28,74,0,78,3
1140,689,26,2020-05-27 22:00:00,2020-05-27,21,73,0,77,1
1119,688,26,2020-05-26 22:00:00,2020-05-26,5,72,0,76,0
1114,688,26,2020-05-25 22:00:00,2020-05-25,17,71,0,75,21
1097,667,26,2020-05-24 22:00:00,2020-05-24,11,70,0,74,4
1086,663,26,2020-05-23 22:00:00,2020-05-23,62,69,0,73,0
1024,663,26,2020-05-22 22:00:00,2020-05-22,63,68,0,72,412
961,251,26,2020-05-21 22:00:00,2020-05-21,0,67,0,71,0
961,251,26,2020-05-20 22:00:00,2020-05-20,7,66,0,70,0
954,251,26,2020-05-19 22:00:00,2020-05-19,43,65,0,69,4
911,247,26,2020-05-18 22:00:00,2020-05-18,0,64,0,68,0
911,247,26,2020-05-17 22:00:00,2020-05-17,20,63,0,67,1
891,246,26,2020-05-16 22:00:00,2020-05-16,0,62,0,66,0
891,246,26,2020-05-15 22:00:00,2020-05-15,5,61,0,65,10
886,236,26,2020-05-14 22:00:00,2020-05-14,8,60,0,64,0
878,236,26,2020-05-13 22:00:00,2020-05-13,8,59,0,63,2
870,234,26,2020-05-12 22:00:00,2020-05-12,11,58,0,62,0
859,234,26,2020-05-11 22:00:00,2020-05-11,50,57,0,61,0
809,234,26,2020-05-10 22:00:00,2020-05-10,0,56,0,60,0
809,234,26,2020-05-09 22:00:00,2020-05-09,13,55,0,59,11
796,223,26,2020-05-08 22:00:00,2020-05-08,12,54,1,58,3
784,220,25,2020-05-07 22:00:00,2020-05-07,34,53,0,57,14
750,206,25,2020-05-06 22:00:00,2020-05-06,9,52,0,56,5
741,201,25,2020-05-05 22:00:00,2020-05-05,1,51,0,55,1
740,200,25,2020-05-04 22:00:00,2020-05-04,3,50,0,54,0
737,200,25,2020-05-03 22:00:00,2020-05-03,4,49,0,53,8
733,192,25,2020-05-02 22:00:00,2020-05-02,4,48,1,52,0
729,192,24,2020-05-01 22:00:00,2020-05-01,4,47,0,51,42
725,150,24,2020-04-30 22:00:00,2020-04-30,4,46,0,50,0
721,150,24,2020-04-29 22:00:00,2020-04-29,4,45,0,49,5
717,145,24,2020-04-28 22:00:00,2020-04-28,7,44,0,48,0
710,145,24,2020-04-27 22:00:00,2020-04-27,3,43,0,47,0
707,145,24,2020-04-26 22:00:00,2020-04-26,3,42,0,46,2
704,143,24,2020-04-25 22:00:00,2020-04-25,8,41,2,45,3
696,140,22,2020-04-24 22:00:00,2020-04-24,8,40,0,44,0
688,140,22,2020-04-23 22:00:00,2020-04-23,6,39,0,43,32
682,108,22,2020-04-22 22:00:00,2020-04-22,5,38,1,42,5
677,103,21,2020-04-21 22:00:00,2020-04-21,0,37,0,41,1
677,102,21,2020-04-20 22:00:00,2020-04-20,4,36,0,40,3
673,99,21,2020-04-19 22:00:00,2020-04-19,1,35,0,39,5
672,94,21,2020-04-18 22:00:00,2020-04-18,4,34,0,38,8
668,86,21,2020-04-17 22:00:00,2020-04-17,5,33,0,37,1
663,85,21,2020-04-16 22:00:00,2020-04-16,5,32,0,36,4
658,81,21,2020-04-15 22:00:00,2020-04-15,17,31,0,35,1
641,80,21,2020-04-14 22:00:00,2020-04-14,9,30,1,34,0
632,80,20,2020-04-13 22:00:00,2020-04-13,2,29,0,33,3
630,77,20,2020-04-12 22:00:00,2020-04-12,11,28,0,32,1
619,76,20,2020-04-11 22:00:00,2020-04-11,10,27,0,31,9
609,67,20,2020-04-10 22:00:00,2020-04-10,27,26,1,30,5
582,62,19,2020-04-09 22:00:00,2020-04-09,7,25,0,29,0
575,62,19,2020-04-08 22:00:00,2020-04-08,27,24,0,28,2
548,60,19,2020-04-07 22:00:00,2020-04-07,7,23,0,27,5
541,55,19,2020-04-06 22:00:00,2020-04-06,14,22,1,26,1
527,54,18,2020-04-05 22:00:00,2020-04-05,7,21,1,25,4
520,50,17,2020-04-04 21:00:00,2020-04-04,12,20,0,24,4
508,46,17,2020-04-03 21:00:00,2020-04-03,14,19,1,23,3
494,43,16,2020-04-02 21:00:00,2020-04-02,15,18,4,22,6
479,37,12,2020-04-01 21:00:00,2020-04-01,16,17,0,21,2
463,35,12,2020-03-31 21:00:00,2020-03-31,17,16,1,20,3
446,32,11,2020-03-30 21:00:00,2020-03-30,8,15,1,19,2
438,30,10,2020-03-29 21:00:00,2020-03-29,26,14,2,18,3
412,27,8,2020-03-28 21:00:00,2020-03-28,44,13,2,17,4
368,23,6,2020-03-27 21:10:00,2020-03-27,0,12,0,16,3
368,20,6,2020-03-26 22:20:00,2020-03-26,35,11,2,15,12
333,8,4,2020-03-25 23:20:00,2020-03-25,29,10,0,14,0
304,8,4,2020-03-24 21:20:00,2020-03-24,48,9,0,13,0
256,8,4,2020-03-23 21:40:00,2020-03-23,26,8,0,12,0
230,8,4,2020-03-22 21:00:00,2020-03-22,43,7,0,11,4
187,4,4,2020-03-21 21:00:00,2020-03-21,24,6,0,10,0
163,4,4,2020-03-20 21:20:00,2020-03-20,24,5,0,9,0
139,4,4,2020-03-19 21:30:00,2020-03-19,6,4,0,8,0
133,4,4,2020-03-18 22:00:00,2020-03-18,13,3,1,7,1
120,3,3,2020-03-17 21:00:00,2020-03-17,10,2,0,6,2
110,1,3,2020-03-16 21:00:00,2020-03-16,11,1,0,5,0
99,1,3,2020-03-15 21:00:00,2020-03-15,6,0,0,4,0
93,1,3,2020-03-14 21:00:00,2020-03-14,16,0,0,3,0
77,1,3,2020-03-13 21:00:00,2020-03-13,9,0,0,2,0
68,1,3,2020-03-12 21:00:00,2020-03-12,9,0,1,1,0
59,1,2,2020-03-11 21:00:00,2020-03-11,18,0,1,0,0
41,1,1,2020-03-10 21:00:00,2020-03-10,9,0,1,0,0
32,1,0,2020-03-09 21:00:00,2020-03-09,4,0,0,0,0
28,1,0,2020-03-08 21:00:00,2020-03-08,6,0,0,0,0
22,1,0,2020-03-07 21:00:00,2020-03-07,6,0,0,0,1
16,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
15,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0,0,0
13,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
13,0,0,2020-03-03 21:00:00,2020-03-03,3,0,0,0,0
10,0,0,2020-03-02 21:00:00,2020-03-02,3,0,0,0,0
7,0,0,2020-03-01 21:00:00,2020-03-01,3,0,0,0,0
4,0,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,0
3,0,0,2020-02-28 21:00:00,2020-02-28,1,0,0,0,0
2,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
1,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
1,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
1,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
1,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
1,0,0,2020-02-22 21:00:00,2020-02-22,1,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
