Date,Mainland China,Other locations,Total,plusNum,plusPercentNum
2020-04-03 15:30:00,1725,749463,751188,55036,0.07905744722416944
2020-04-02 22:00:00,1863,699222,701085,55036,0.07905744722416944
2020-04-01 22:00:00,2172,644001,646173,55036,0.07905744722416944
2020-03-31 22:00:00,2148,589140,591288,55036,0.07905744722416944
2020-03-30 22:00:00,2398,541895,544293,55036,0.07905744722416944
2020-03-29 22:00:00,2695,497887,500582,55036,0.07905744722416944
2020-03-28 22:00:00,3133,445755,448888,55036,0.07905744722416944
2020-03-27 22:10:00,3458,388722,392180,55036,0.07905744722416944
2020-03-26 23:20:00,3920,344611,348531,55036,0.07905744722416944
2020-03-25 23:00:00,4288,299535,303823,55036,0.07905744722416944
2020-03-24 22:20:00,4729,267833,272562,55036,0.07905744722416944
2020-03-23 22:40:00,5136,228994,234130,55036,0.07905744722416944
2020-03-22 22:00:00,5546,194418,199964,55036,0.07905744722416944
2020-03-21 22:00:00,6009,171476,177485,55036,0.07905744722416944
2020-03-20 22:20:00,6570,146054,152624,55036,0.07905744722416944
2020-03-19 22:30:00,7254,120914,128168,55036,0.07905744722416944
2020-03-18 23:00:00,8056,104524,112580,55036,0.07905744722416944
2020-03-17 22:00:00,8965,88107,97072,55036,0.07905744722416944
2020-03-16 22:00:00,9891,76969,86860,55036,0.07905744722416944
2020-03-15 22:00:00,10713,65348,76061,55036,0.07905744722416944
2020-03-14 22:00:00,12068,57669,69737,55036,0.07905744722416944
2020-03-13 22:00:00,13506,46983,60489,55036,0.07905744722416944
2020-03-12 22:00:00,14813,39893,54706,55036,0.07905744722416944
2020-03-11 22:00:00,16064,33318,49382,55036,0.07905744722416944
2020-03-10 22:00:00,17522,28873,46395,55036,0.07905744722416944
2020-03-09 22:00:00,18910,25855,44765,55036,0.07905744722416944
2020-03-08 22:00:00,20376,22418,42794,55036,0.07905744722416944
2020-03-07 22:00:00,22178,19333,41511,55036,0.07905744722416944
2020-03-06 22:00:00,23721,16146,39867,55036,0.07905744722416944
2020-03-05 22:00:00,25195,14045,39240,55036,0.07905744722416944
2020-03-04 22:00:00,27379,11985,39364,55036,0.07905744722416944
2020-03-03 22:00:00,29873,10926,40799,55036,0.07905744722416944
2020-03-02 22:00:00,32568,8963,41531,55036,0.07905744722416944
2020-03-01 22:00:00,34883,6532,41415,55036,0.07905744722416944
2020-02-29 22:00:00,37264,5824,43088,55036,0.07905744722416944
2020-02-28 22:00:00,39768,4545,44313,55036,0.07905744722416944
2020-02-27 22:00:00,42959,3587,46546,55036,0.07905744722416944
2020-02-26 22:00:00,45351,2820,48171,55036,0.07905744722416944
2020-02-25 22:00:00,47446,2352,49798,55036,0.07905744722416944
2020-02-24 22:00:00,49643,2089,51732,55036,0.07905744722416944
2020-02-23 22:00:00,51393,1700,53093,55036,0.07905744722416944
2020-02-22 22:00:00,52928,1402,54330,55036,0.07905744722416944
2020-02-21 22:00:00,54404,1126,55530,55036,0.07905744722416944
2020-02-20 22:00:00,55812,984,56796,55036,0.07905744722416944
2020-02-19 22:00:00,57423,923,58346,55036,0.07905744722416944
2020-02-18 22:00:00,57654,832,58486,55036,0.07905744722416944
2020-02-17 22:00:00,57634,756,58390,55036,0.07905744722416944
2020-02-16 22:00:00,57178,648,57826,55036,0.07905744722416944
2020-02-15 22:00:00,56620,582,57202,55036,0.07905744722416944
2020-02-14 22:00:00,55484,498,55982,55036,0.07905744722416944
2020-02-13 22:00:00,52315,491,52806,55036,0.07905744722416944
2020-02-12 22:00:00,38596,460,39056,55036,0.07905744722416944
2020-02-11 21:30:00,37462,422,37884,55036,0.07905744722416944
2020-02-10 22:00:00,35820,402,36222,55036,0.07905744722416944
2020-02-09 22:00:00,33592,333,33925,55036,0.07905744722416944
2020-02-08 22:00:00,31561,314,31875,55036,0.07905744722416944
2020-02-07 22:00:00,28887,296,29183,55036,0.07905744722416944
2020-02-06 22:00:00,26224,240,26464,55036,0.07905744722416944
2020-02-05 22:00:00,22932,210,23142,55036,0.07905744722416944
2020-02-04 21:00:00,19370,179,19549,55036,0.07905744722416944
2020-02-03 21:00:00,16454,168,16622,55036,0.07905744722416944
2020-02-02 21:00:00,13808,167,13975,55036,0.07905744722416944
2020-02-01 11:00:00,10720,143,10863,55036,0.07905744722416944
2020-01-31 13:30:00,9266,109,9375,55036,0.07905744722416944
2020-01-30 13:00:00,7381,99,7480,55036,0.07905744722416944
2020-01-29 15:00:00,5734,81,5815,55036,0.07905744722416944
2020-01-28 12:30:00,4242,61,4303,55036,0.07905744722416944
2020-01-27 15:00:00,2606,54,2660,55036,0.07905744722416944
2020-01-26 14:00:00,1874,40,1914,55036,0.07905744722416944
2020-01-25 16:00:00,1241,37,1278,55036,0.07905744722416944
2020-01-24 16:00:00,805,16,821,55036,0.07905744722416944
2020-01-23 16:00:00,591,15,606,55036,0.07905744722416944
2020-01-22 16:00:00,532,6,538,55036,0.07905744722416944
2020-01-21 16:00:00,321,5,326,55036,0.07905744722416944
